Mesures en accel/decel 
Acc_I;Acc_Pos;Acc_Vit;Dec_I;Dec_Pos;Dec_Vit 
52;0;65535;1079;5124;357 
2690;0;65535;294;5128;358 
3616;0;65535;50;5133;359 
4077;0;65535;0;5137;371 
4095;1;65535;0;5141;376 
4095;1;65535;0;5145;381 
4095;1;65535;0;5149;387 
4095;1;65535;0;5153;397 
3814;2;65535;0;5157;402 
3830;2;65535;0;5161;405 
3970;2;65535;0;5165;412 
4035;3;65535;0;5169;419 
4021;3;65535;0;5172;419 
3911;3;65535;0;5176;430 
3779;4;65535;0;5180;436 
3712;4;65535;0;5184;440 
3853;4;65535;0;5187;449 
3799;4;65535;0;5191;456 
3728;5;5542;0;5194;470 
3579;5;5542;0;5197;476 
3483;5;5542;0;5200;476 
3204;6;5542;0;5204;483 
3351;7;5542;0;5207;492 
3563;7;5542;0;5210;501 
3435;8;5542;0;5213;517 
3577;8;5542;0;5216;517 
3710;8;5542;0;5220;526 
3711;9;3454;0;5222;534 
3423;10;3454;0;5225;545 
3486;10;3454;0;5228;545 
3541;11;3454;0;5231;557 
3489;12;3454;0;5233;576 
3575;12;3454;0;5236;576 
3676;13;2566;0;5239;586 
3585;13;2566;0;5241;597 
3370;14;2566;0;5244;597 
3233;15;2566;0;5247;612 
3238;16;2566;0;5249;627 
3507;16;2566;0;5252;627 
3373;17;2206;0;5254;650 
3424;18;2206;0;5256;650 
3601;19;2206;0;5259;665 
3308;20;2206;0;5261;680 
3482;20;2206;0;5264;680 
3635;21;2012;0;5266;698 
3503;22;2012;0;5268;698 
3561;23;2012;0;5270;719 
3401;24;2012;0;5272;719 
3454;24;2012;0;5274;749 
3281;26;1834;0;5276;749 
3187;27;1834;0;5279;769 
3171;28;1834;0;5280;769 
3363;28;1834;0;5282;789 
3225;29;1663;0;5284;789 
3269;31;1663;0;5286;817 
3272;32;1663;0;5288;817 
3398;32;1663;0;5290;844 
3317;34;1553;0;5292;844 
3127;35;1553;0;5293;885 
3088;36;1553;0;5296;885 
3232;37;1462;0;5297;914 
3221;38;1462;0;5299;914 
3285;40;1462;0;5300;914 
3254;40;1462;0;5302;944 
3338;41;1411;0;5304;944 
3395;43;1411;0;5305;987 
3231;44;1411;0;5307;987 
3197;45;1358;0;5308;987 
2987;46;1358;0;5310;1028 
2997;48;1358;0;5312;1028 
3223;49;1300;0;5312;1028 
3063;50;1300;0;5314;1089 
3151;52;1300;0;5316;1089 
3201;52;1300;0;5317;1138 
3154;54;1254;0;5318;1138 
2962;56;1254;0;5320;1138 
3135;56;1254;0;5321;1188 
3059;58;1205;0;5322;1188 
3157;60;1205;0;5324;1188 
3185;60;1205;0;5324;1188 
3184;62;1170;0;5326;1259 
3209;64;1170;0;5327;1259 
3172;65;1142;0;5328;1259 
2959;66;1142;0;5329;1335 
2964;68;1142;0;5331;1335 
3127;69;1106;0;5332;1335 
3015;71;1106;0;5332;1335 
3029;72;1106;0;5334;1438 
3148;73;1088;0;5335;1438 
2968;75;1088;0;5336;1438 
3046;76;1088;0;5337;1537 
3004;78;1057;0;5338;1537 
2969;80;1057;0;5339;1537 
3157;81;1032;0;5340;1537 
3173;83;1032;0;5340;1537 
3135;84;1032;0;5341;1648 
2896;86;1011;0;5343;1648 
2861;88;1011;0;5344;1648 
3031;89;990;0;5344;1648 
2963;91;990;0;5345;1806 
3036;92;990;0;5346;1806 
3052;94;980;0;5347;1806 
2845;96;980;0;5348;1806 
2951;97;957;0;5348;1806 
3044;99;957;0;5349;1992 
3010;101;938;0;5350;1992 
3061;103;938;0;5351;1992 
3070;104;938;0;5352;1992 
2885;106;922;0;5352;1992 
2807;108;922;0;5352;1992 
2897;109;908;0;5353;2256 
2931;112;908;0;5354;2256 
3020;113;904;0;5355;2256 
2897;115;904;0;5355;2256 
2917;116;904;0;5356;2256 
2921;119;889;0;5356;2256 
2851;120;889;0;5357;2604 
2947;122;872;0;5357;2604 
2882;124;872;0;5358;2604 
2826;126;861;0;5359;2604 
2763;128;861;0;5359;2604 
2818;129;853;0;5360;2604 
2847;132;853;0;5360;2604 
2987;133;849;0;5360;2604 
2777;136;849;0;5361;3129 
2838;137;836;0;5361;3129 
2867;139;836;0;5362;3129 
2934;141;823;0;5362;3129 
3007;143;823;0;5363;3129 
2957;145;815;0;5363;3129 
2784;147;815;0;5364;3129 
2888;149;804;0;5364;3129 
2838;151;804;0;5364;3129 
2906;153;806;0;5364;3129 
2845;155;806;0;5364;3129 
2791;157;795;0;5365;4148 
2832;159;795;0;5365;4148 
2839;161;784;0;5365;4148 
2937;163;784;0;5366;4148 
2898;165;776;0;5366;4148 
2726;167;776;0;5367;4148 
2837;169;768;0;5367;4148 
2785;171;768;0;5367;4148 
2890;173;769;0;5367;4148 
2672;176;769;0;5368;4148 
2706;177;760;0;5368;4148 
2677;180;760;0;5368;4148 
2792;182;749;0;5368;4148 
2778;184;749;0;5368;4148 
2671;186;744;0;5368;4148 
2688;188;744;0;5368;4148 
2683;190;738;0;5368;4148 
2733;192;738;0;5369;7026 
2749;195;739;0;5369;7026 
2710;197;731;0;5369;7026 
2726;199;731;0;5369;7026 
2775;201;722;0;5369;7026 
2762;204;722;0;5369;7026 
2686;206;716;0;5369;7026 
2620;208;716;0;5369;7026 
2638;210;712;0;5369;7026 
2708;212;712;0;5369;7026 
2726;215;715;0;5369;7026 
2666;217;704;0;5369;7026 
2680;220;704;0;5369;7026 
2724;221;698;0;5369;7026 
2687;224;698;0;5369;7026 
2582;226;691;0;5369;7026 
2612;228;691;0;5369;7026 
2594;231;687;0;5369;7026 
2695;233;689;0;5369;7026 
2536;236;689;0;5369;7026 
2536;238;682;0;5369;7026 
2550;240;682;0;5369;7026 
2693;243;673;0;5369;7026 
2681;245;669;0;5369;7026 
2517;248;669;0;5369;7026 
2541;249;664;0;5369;7026 
2539;252;664;0;5369;7026 
2607;255;668;0;5369;7026 
2567;257;660;0;5369;7026 
2568;260;660;0;5369;7026 
2589;262;654;0;5369;7026 
2639;264;654;0;5369;7026 
2499;267;650;0;5369;7026 
2565;269;647;0;5369;7026 
2515;272;647;0;5369;7026 
2577;274;652;0;5369;7026 
2513;276;652;0;5369;7026 
2580;279;642;0;5369;7026 
2533;281;639;0;5369;7026 
2536;284;639;0;5369;7026 
2451;287;634;0;5369;7026 
2544;289;632;0;5369;7026 
2481;292;632;0;5369;7026 
2546;294;635;0;5369;7026 
2487;296;635;0;5369;7026 
2503;299;629;0;5369;7026 
2526;301;621;0;5369;7026 
2565;304;621;0;5369;7026 
2439;307;622;0;5369;7026 
2469;309;618;0;5369;7026 
2439;312;618;0;5369;7026 
2499;315;623;0;5369;7026 
2443;317;616;0;5369;7026 
2407;320;616;0;5369;7026 
2529;322;612;0;5369;7026 
2533;325;609;0;5369;7026 
2378;328;609;0;5369;7026 
2409;330;607;0;5369;7026 
2500;332;607;0;5369;7026 
2377;336;611;0;5369;7026 
2352;338;605;0;5369;7026 
2438;340;605;0;5369;7026 
2534;344;603;0;5369;7026 
2400;346;599;0;5369;7026 
2453;348;599;0;5369;7026 
2430;352;599;0;5369;7026 
2453;354;602;0;5369;7026 
2426;356;602;0;5369;7026 
2423;360;597;0;5369;7026 
2459;362;593;0;5369;7026 
2500;364;593;0;5369;7026 
2340;368;591;0;5369;7026 
2329;370;589;0;5369;7026 
2383;372;589;0;5369;7026 
2285;376;593;0;5369;7026 
2363;378;589;0;5369;7026 
2378;381;585;0;5369;7026 
2404;384;585;0;5369;7026 
2314;386;583;0;5369;7026 
2394;389;580;0;5369;7026 
2330;392;580;0;5369;7026 
2372;395;585;0;5369;7026 
2306;397;580;0;5369;7026 
2318;400;580;0;5369;7026 
2439;403;577;0;5369;7026 
2346;405;575;0;5369;7026 
2335;408;575;0;5369;7026 
2324;411;572;0;5369;7026 
2379;414;578;0;5369;7026 
2361;416;578;0;5369;7026 
2331;420;572;0;5369;7026 
2364;422;570;0;5369;7026 
2356;425;567;0;5369;7026 
2264;428;567;0;5369;7026 
2311;431;566;0;5369;7026 
2394;433;570;0;5369;7026 
2295;436;570;0;5369;7026 
2367;439;567;0;5369;7026 
2331;442;564;0;5369;7026 
2352;445;562;0;5369;7026 
2228;448;562;0;5369;7026 
2259;451;559;0;5369;7026 
2337;453;565;0;5369;7026 
2233;456;565;0;5369;7026 
2330;459;561;0;5369;7026 
2267;462;557;0;5369;7026 
2310;464;557;0;5369;7026 
2194;468;553;0;5369;7026 
2253;471;554;0;5369;7026 
2326;473;557;0;5369;7026 
2202;476;557;0;5369;7026 
2253;479;554;0;5369;7026 
2241;482;550;0;5369;7026 
2278;485;548;0;5369;7026 
2157;488;548;0;5369;7026 
2217;491;546;0;5369;7026 
2252;493;551;0;5369;7026 
2173;496;551;0;5369;7026 
2198;500;547;0;5369;7026 
2265;503;544;0;5369;7026 
2236;505;543;0;5369;7026 
2177;508;543;0;5369;7026 
2205;511;540;0;5369;7026 
2232;514;546;0;5369;7026 
2147;517;542;0;5369;7026 
2137;520;542;0;5369;7026 
2248;523;537;0;5369;7026 
2109;526;537;0;5369;7026 
2140;529;535;0;5369;7026 
2100;532;535;0;5369;7026 
2203;535;541;0;5369;7026 
2054;538;536;0;5369;7026 
2158;540;536;0;5369;7026 
2142;544;534;0;5369;7026 
2050;547;532;0;5369;7026 
2087;550;530;0;5369;7026 
