Mesures en accel/decel 
Acc_I;Acc_Pos;Acc_Vit;Dec_I;Dec_Pos;Dec_Vit 
0;8371;65535;1144;4657;369 
2341;8371;65535;318;4653;364 
3293;8371;65535;59;4648;374 
3557;8371;65535;0;4644;379 
3657;8371;65535;0;4640;384 
3587;8370;65535;0;4636;393 
3607;8370;65535;0;4632;390 
3930;8370;65535;0;4628;403 
3941;8369;65535;0;4624;410 
3935;8369;65535;0;4620;415 
3750;8369;65535;0;4617;426 
3821;8368;65535;0;4613;424 
3939;8368;65535;0;4609;438 
3869;8368;65535;0;4606;448 
3641;8367;65535;0;4603;448 
3368;8367;65535;0;4599;455 
3712;8366;4035;0;4596;467 
3739;8365;4035;0;4592;467 
3699;8364;4035;0;4589;483 
3746;8364;4035;0;4586;496 
3620;8363;4035;0;4583;496 
3680;8362;2297;0;4580;504 
3640;8361;2297;0;4576;521 
3345;8360;2297;0;4574;521 
3532;8360;2297;0;4571;521 
3481;8359;2297;0;4568;542 
3693;8358;1819;0;4565;556 
3357;8356;1819;0;4562;569 
3381;8356;1819;0;4560;569 
3385;8355;1819;0;4557;589 
3515;8353;1549;0;4554;593 
3411;8352;1549;0;4552;593 
3361;8352;1549;0;4549;618 
3169;8350;1426;0;4547;618 
3306;8349;1426;0;4544;636 
3381;8348;1426;0;4542;655 
3226;8347;1426;0;4540;655 
3296;8345;1336;0;4537;680 
3284;8344;1336;0;4535;680 
3261;8343;1336;0;4532;690 
3329;8341;1252;0;4530;723 
3007;8340;1252;0;4528;723 
3125;8339;1252;0;4526;749 
3184;8337;1217;0;4524;749 
2922;8336;1217;0;4522;774 
3121;8335;1217;0;4520;774 
3225;8333;1146;0;4518;810 
3213;8332;1146;0;4516;810 
3061;8331;1146;0;4514;829 
3081;8329;1122;0;4512;829 
3176;8328;1122;0;4511;829 
3005;8326;1101;0;4509;874 
3115;8324;1101;0;4507;874 
3102;8323;1101;0;4505;915 
3218;8322;1079;0;4504;915 
2933;8320;1079;0;4502;954 
3015;8319;1079;0;4500;954 
3114;8317;1073;0;4499;954 
3043;8316;1073;0;4497;1010 
3118;8314;1038;0;4496;1010 
3115;8312;1038;0;4494;1046 
3115;8311;1038;0;4493;1046 
3154;8309;1028;0;4492;1046 
3155;8308;1028;0;4490;1119 
2961;8307;1028;0;4488;1119 
3047;8305;1019;0;4488;1119 
3094;8303;1019;0;4486;1186 
3186;8301;998;0;4485;1186 
2969;8300;998;0;4484;1186 
3140;8299;998;0;4482;1258 
2986;8296;991;0;4481;1258 
3009;8295;991;0;4480;1258 
3072;8293;953;0;4479;1258 
3086;8292;953;0;4477;1358 
2900;8290;947;0;4476;1358 
2945;8288;947;0;4476;1358 
2837;8287;947;0;4474;1437 
2819;8285;930;0;4473;1437 
2897;8283;930;0;4472;1437 
2931;8281;907;0;4472;1437 
2888;8280;907;0;4470;1578 
2979;8277;892;0;4469;1578 
2816;8276;892;0;4468;1578 
2906;8274;859;0;4468;1578 
2819;8272;859;0;4467;1578 
2690;8270;853;0;4466;1726 
2827;8268;853;0;4465;1726 
2736;8267;853;0;4464;1726 
2807;8264;840;0;4463;1726 
2814;8263;840;0;4463;1726 
2685;8260;822;0;4461;1899 
2735;8259;822;0;4461;1899 
2657;8256;808;0;4460;1899 
2706;8255;808;0;4460;1899 
2745;8252;785;0;4459;1899 
2669;8251;785;0;4458;2157 
2703;8248;780;0;4457;2157 
2628;8247;780;0;4456;2157 
2707;8244;772;0;4456;2157 
2763;8242;759;0;4456;2157 
2587;8240;759;0;4455;2157 
2722;8238;754;0;4454;2451 
2620;8236;754;0;4453;2451 
2720;8233;730;0;4453;2451 
2707;8232;730;0;4452;2451 
2613;8229;732;0;4452;2451 
2614;8227;732;0;4452;2451 
2589;8225;726;0;4451;2451 
2618;8223;726;0;4451;2451 
2549;8220;717;0;4450;2975 
2642;8218;712;0;4449;2975 
2532;8216;712;0;4449;2975 
2634;8213;693;0;4448;2975 
2593;8212;693;0;4448;2975 
2489;8209;694;0;4448;2975 
2513;8207;694;0;4448;2975 
2608;8204;690;0;4447;2975 
2643;8202;680;0;4447;2975 
2501;8200;680;0;4446;3802 
2516;8197;677;0;4446;3802 
2455;8195;677;0;4445;3802 
2505;8192;658;0;4445;3802 
2417;8190;660;0;4445;3802 
2490;8188;660;0;4444;3802 
2451;8185;656;0;4444;3802 
2469;8183;656;0;4444;3802 
2424;8180;649;0;4444;3802 
2489;8177;647;0;4444;3802 
2407;8175;647;0;4444;3802 
2424;8172;629;0;4443;3802 
2334;8170;633;0;4443;3802 
2423;8168;633;0;4443;3802 
2329;8165;625;0;4442;5630 
2413;8163;625;0;4442;5630 
2362;8160;627;0;4442;5630 
2429;8157;622;0;4442;5630 
2311;8155;622;0;4441;5630 
2372;8152;605;0;4441;5630 
2288;8149;609;0;4441;5630 
2252;8147;609;0;4441;5630 
2325;8144;606;0;4441;5630 
2408;8141;599;0;4441;5630 
2274;8139;599;0;4441;5630 
2253;8136;601;0;4440;5630 
2375;8133;581;0;4440;5630 
2268;8131;581;0;4440;5630 
2304;8128;591;0;4440;5630 
2271;8125;590;0;4440;5630 
2330;8123;590;0;4440;5630 
2292;8120;583;0;4440;5630 
2325;8117;580;0;4440;5630 
2220;8114;570;0;4440;5630 
2327;8112;570;0;4440;5630 
2194;8109;576;0;4440;5630 
2095;8106;573;0;4440;5630 
2243;8104;573;0;4440;5630 
2240;8100;570;0;4440;5630 
2320;8097;569;0;4440;5630 
2153;8095;569;0;4440;5630 
2262;8092;556;0;4440;5630 
2196;8089;559;0;4440;5630 
2072;8086;561;0;4440;5630 
2220;8084;561;0;4440;5630 
2163;8080;556;0;4440;5630 
2235;8077;554;0;4440;5630 
2092;8075;554;0;4440;5630 
2232;8072;545;0;4440;5630 
2157;8069;548;0;4440;5630 
2007;8066;547;0;4440;5630 
2154;8063;547;0;4440;5630 
2137;8060;541;0;4440;5630 
2165;8057;547;0;4440;5630 
2142;8054;532;0;4440;5630 
2169;8051;532;0;4440;5630 
2143;8048;537;0;4440;5630 
2097;8045;537;0;4440;5630 
2214;8042;533;0;4440;5630 
2111;8040;533;0;4440;5630 
2066;8036;533;0;4440;5630 
2183;8033;524;0;4440;5630 
2073;8030;528;0;4440;5630 
2119;8028;528;0;4440;5630 
2117;8024;527;0;4440;5630 
2158;8021;520;0;4440;5630 
2152;8018;529;0;4440;5630 
2036;8015;529;0;4440;5630 
2151;8012;511;0;4440;5630 
2025;8009;519;0;4440;5630 
2017;8006;517;0;4440;5630 
2092;8003;517;0;4440;5630 
2020;8000;512;0;4440;5630 
2005;7996;517;0;4440;5630 
2070;7993;502;0;4440;5630 
2004;7990;510;0;4440;5630 
2046;7987;510;0;4440;5630 
2041;7984;508;0;4440;5630 
2003;7980;505;0;4440;5630 
2026;7977;506;0;4440;5630 
1945;7974;495;0;4440;5630 
2029;7971;495;0;4440;5630 
2004;7968;500;0;4440;5630 
1965;7964;500;0;4440;5630 
2078;7961;497;0;4440;5630 
1935;7958;498;0;4440;5630 
1851;7955;498;0;4440;5630 
2024;7952;487;0;4440;5630 
1907;7948;493;0;4440;5630 
1887;7945;493;0;4440;5630 
2003;7942;489;0;4440;5630 
1863;7939;489;0;4440;5630 
1791;7936;494;0;4440;5630 
1945;7932;482;0;4440;5630 
1864;7929;487;0;4440;5630 
1806;7926;488;0;4440;5630 
1884;7923;488;0;4440;5630 
1799;7919;485;0;4440;5630 
1758;7916;488;0;4440;5630 
1899;7912;476;0;4440;5630 
1849;7909;483;0;4440;5630 
1812;7906;483;0;4440;5630 
1866;7903;483;0;4440;5630 
1789;7900;481;0;4440;5630 
1733;7896;483;0;4440;5630 
1871;7892;472;0;4440;5630 
1824;7889;478;0;4440;5630 
1777;7886;478;0;4440;5630 
1860;7883;478;0;4440;5630 
1807;7880;476;0;4440;5630 
1714;7876;478;0;4440;5630 
1856;7872;467;0;4440;5630 
1808;7869;473;0;4440;5630 
1772;7866;473;0;4440;5630 
1863;7863;473;0;4440;5630 
1759;7859;471;0;4440;5630 
1695;7856;470;0;4440;5630 
1825;7852;465;0;4440;5630 
1772;7849;468;0;4440;5630 
1802;7845;468;0;4440;5630 
1930;7842;466;0;4440;5630 
1817;7839;466;0;4440;5630 
1731;7835;467;0;4440;5630 
1852;7832;457;0;4440;5630 
1775;7828;463;0;4440;5630 
1794;7825;462;0;4440;5630 
1886;7821;460;0;4440;5630 
1822;7818;462;0;4440;5630 
1746;7815;462;0;4440;5630 
1791;7811;452;0;4440;5630 
1814;7808;458;0;4440;5630 
1820;7804;457;0;4440;5630 
1790;7800;455;0;4440;5630 
1799;7797;458;0;4440;5630 
1803;7793;447;0;4440;5630 
1743;7790;453;0;4440;5630 
1722;7786;453;0;4440;5630 
1798;7783;453;0;4440;5630 
1774;7780;451;0;4440;5630 
1687;7776;453;0;4440;5630 
1789;7772;444;0;4440;5630 
1722;7768;448;0;4440;5630 
1753;7765;448;0;4440;5630 
1847;7761;449;0;4440;5630 
1796;7758;448;0;4440;5630 
1691;7754;441;0;4440;5630 
1739;7751;441;0;4440;5630 
1752;7748;445;0;4440;5630 
1807;7744;445;0;4440;5630 
1757;7740;442;0;4440;5630 
1674;7736;448;0;4440;5630 
1736;7733;437;0;4440;5630 
1698;7729;440;0;4440;5630 
1728;7725;444;0;4440;5630 
1811;7722;441;0;4440;5630 
1704;7719;441;0;4440;5630 
1640;7715;443;0;4440;5630 
1738;7711;434;0;4440;5630 
1723;7708;438;0;4440;5630 
1747;7704;441;0;4440;5630 
1678;7700;436;0;4440;5630 
1621;7696;442;0;4440;5630 
1678;7693;432;0;4440;5630 
1657;7689;436;0;4440;5630 
1699;7685;437;0;4440;5630 
1761;7682;433;0;4440;5630 
1673;7678;441;0;4440;5630 
1631;7675;441;0;4440;5630 
1688;7671;428;0;4440;5630 
1713;7668;434;0;4440;5630 
1732;7664;434;0;4440;5630 
1664;7660;433;0;4440;5630 
1613;7656;435;0;4440;5630 
1684;7652;426;0;4440;5630 
1613;7649;431;0;4440;5630 
1647;7645;430;0;4440;5630 
1717;7641;428;0;4440;5630 
1669;7637;435;0;4440;5630 
1646;7634;421;0;4440;5630 
1637;7630;428;0;4440;5630 
1613;7627;428;0;4440;5630 
1692;7623;432;0;4440;5630 
1623;7619;424;0;4440;5630 
1562;7616;432;0;4440;5630 
1696;7612;421;0;4440;5630 
1668;7608;426;0;4440;5630 
1677;7604;426;0;4440;5630 
1640;7600;425;0;4440;5630 
1622;7596;427;0;4440;5630 
1654;7592;418;0;4440;5630 
1575;7589;424;0;4440;5630 
1629;7585;424;0;4440;5630 
1711;7581;422;0;4440;5630 
1649;7578;425;0;4440;5630 
1623;7574;416;0;4440;5630 
1611;7570;421;0;4440;5630 
1563;7567;421;0;4440;5630 
1644;7563;421;0;4440;5630 
1552;7559;420;0;4440;5630 
1539;7555;422;0;4440;5630 
1628;7551;414;0;4440;5630 
1611;7548;417;0;4440;5630 
1630;7544;420;0;4440;5630 
1577;7540;416;0;4440;5630 
1530;7536;421;0;4440;5630 
1639;7532;412;0;4440;5630 
1583;7528;416;0;4440;5630 
1589;7524;416;0;4440;5630 
1579;7520;413;0;4440;5630 
1580;7516;419;0;4440;5630 
1614;7513;409;0;4440;5630 
1565;7509;414;0;4440;5630 
1560;7505;413;0;4440;5630 
1621;7501;413;0;4440;5630 
1572;7497;415;0;4440;5630 
1593;7493;406;0;4440;5630 
1565;7489;411;0;4440;5630 
1522;7486;409;0;4440;5630 
1622;7482;413;0;4440;5630 
1570;7478;413;0;4440;5630 
1549;7474;403;0;4440;5630 
1556;7470;410;0;4440;5630 
1519;7466;410;0;4440;5630 
1596;7463;410;0;4440;5630 
1514;7459;408;0;4440;65535 
1497;7455;410;0;4440;65535 
1548;7451;402;0;4440;65535 
1511;7447;407;0;4440;65535 
1568;7443;408;0;4440;65535 
1486;7439;406;0;4440;65535 
1466;7435;409;0;4440;65535 
1541;7431;399;0;4440;65535 
1495;7427;406;0;4440;65535 
1495;7424;405;0;4440;65535 
1469;7420;405;0;4440;65535 
1380;7416;406;0;4440;65535 
1497;7412;396;0;4440;65535 
1492;7408;406;0;4440;65535 
1521;7404;404;0;4440;65535 
1485;7400;403;0;4440;65535 
1428;7396;405;0;4440;65535 
1548;7392;397;0;4440;65535 
1493;7388;402;0;4440;65535 
1495;7384;402;0;4440;65535 
1458;7380;400;0;4440;65535 
1421;7376;405;0;4440;65535 
1533;7372;395;0;4440;65535 
1487;7368;400;0;4440;65535 
1493;7364;401;0;4440;65535 
1441;7360;400;0;4440;65535 
1379;7356;402;0;4440;65535 
1528;7352;393;0;4440;65535 
1477;7348;399;0;4440;65535 
1476;7344;400;0;4440;65535 
1449;7340;398;0;4440;65535 
1391;7336;401;0;4440;65535 
1547;7332;392;0;4440;65535 
1497;7328;398;0;4440;65535 
1487;7324;398;0;4440;65535 
1452;7320;398;0;4440;65535 
1395;7316;399;0;4440;65535 
1532;7312;391;0;4440;65535 
1464;7308;397;0;4440;65535 
1478;7304;397;0;4440;65535 
1454;7300;396;0;4440;65535 
1397;7296;395;0;4440;65535 
1515;7292;394;0;4440;65535 
1465;7288;395;0;4440;65535 
1475;7284;393;0;4440;65535 
1447;7280;398;0;4440;65535 
1363;7276;397;0;4440;65535 
1479;7272;387;0;4440;65535 
1451;7268;397;0;4440;65535 
1480;7264;395;0;4440;65535 
1459;7260;394;0;4440;65535 
1415;7255;397;0;4440;65535 
1499;7251;388;0;4440;65535 
1452;7247;393;0;4440;65535 
1465;7243;394;0;4440;65535 
1400;7239;393;0;4440;65535 
1351;7235;395;0;4440;65535 
1403;7231;387;0;4440;65535 
1326;7227;393;0;4440;65535 
1420;7223;393;0;4440;65535 
1386;7219;392;0;4440;65535 
1354;7215;391;0;4440;65535 
1381;7211;388;0;4440;65535 
1325;7207;393;0;4440;65535 
1433;7203;392;0;4440;65535 
1411;7198;393;0;4440;65535 
1374;7194;386;0;4440;65535 
1349;7190;388;0;4440;65535 
1286;7186;394;0;4440;65535 
1403;7182;390;0;4440;65535 
1383;7178;393;0;4440;65535 
1366;7174;385;0;4440;65535 
1331;7169;390;0;4440;65535 
1301;7165;390;0;4440;65535 
1462;7161;389;0;4440;65535 
1397;7157;393;0;4440;65535 
1375;7153;381;0;4440;65535 
1317;7149;392;0;4440;65535 
1300;7145;390;0;4440;65535 
1396;7141;389;0;4440;65535 
1360;7137;391;0;4440;65535 
1362;7133;384;0;4440;65535 
1289;7128;388;0;4440;65535 
1308;7124;389;0;4440;65535 
1376;7120;389;0;4440;65535 
1343;7116;390;0;4440;65535 
1406;7112;383;0;4440;65535 
1363;7108;388;0;4440;65535 
1411;7104;389;0;4440;65535 
1392;7100;388;0;4440;65535 
1298;7096;390;0;4440;65535 
1408;7092;382;0;4440;65535 
1335;7088;388;0;4440;65535 
1388;7084;388;0;4440;65535 
1366;7080;387;0;4440;65535 
1302;7076;389;0;4440;65535 
1399;7071;382;0;4440;65535 
1365;7067;387;0;4440;65535 
1395;7063;387;0;4440;65535 
1388;7059;387;0;4440;65535 
1368;7055;388;0;4440;65535 
1386;7051;381;0;4440;65535 
1352;7047;386;0;4440;65535 
1439;7042;386;0;4440;65535 
1431;7038;388;0;4440;65535 
1410;7034;380;0;4440;65535 
1381;7030;385;0;4440;65535 
1340;7026;386;0;4440;65535 
1459;7021;385;0;4440;65535 
1439;7017;387;0;4440;65535 
1423;7013;380;0;4440;65535 
1358;7009;382;0;4440;65535 
1376;7005;387;0;4440;65535 
1426;7001;384;0;4440;65535 
1412;6996;387;0;4440;65535 
1430;6992;378;0;4440;65535 
1386;6988;384;0;4440;65535 
1400;6984;383;0;4440;65535 
1404;6980;385;0;4440;65535 
1349;6976;385;0;4440;65535 
1434;6972;378;0;4440;65535 
1400;6968;380;0;4440;65535 
1420;6964;386;0;4440;65535 
1399;6960;383;0;4440;65535 
1331;6955;384;0;4440;65535 
1408;6951;376;0;4440;65535 
1356;6947;383;0;4440;65535 
1388;6943;383;0;4440;65535 
1374;6939;382;0;4440;65535 
1352;6934;376;0;4440;65535 
1346;6930;382;0;4440;65535 
1331;6926;379;0;4440;65535 
1445;6921;384;0;4440;65535 
1371;6917;384;0;4440;65535 
1341;6913;373;0;4440;65535 
1300;6909;384;0;4440;65535 
1338;6905;382;0;4440;65535 
1388;6900;380;0;4440;65535 
1331;6896;383;0;4440;65535 
1375;6892;376;0;4440;65535 
1341;6888;381;0;4440;65535 
1353;6884;381;0;4440;65535 
1340;6880;381;0;4440;65535 
1270;6876;383;0;4440;65535 
1399;6872;375;0;4440;65535 
1326;6868;380;0;4440;65535 
1364;6863;379;0;4440;65535 
1328;6859;383;0;4440;65535 
1326;6855;382;0;4440;65535 
1381;6851;375;0;4440;65535 
1291;6846;381;0;4440;65535 
1402;6842;380;0;4440;65535 
1394;6838;382;0;4440;65535 
1363;6834;374;0;4440;65535 
1347;6829;380;0;4440;65535 
1298;6825;380;0;4440;65535 
1413;6821;379;0;4440;65535 
1366;6817;382;0;4440;65535 
1385;6812;374;0;4440;65535 
1370;6808;379;0;4440;65535 
1375;6804;379;0;4440;65535 
1379;6800;379;0;4440;65535 
1328;6796;381;0;4440;65535 
1450;6792;373;0;4440;65535 
1368;6788;379;0;4440;65535 
1378;6784;379;0;4440;65535 
1346;6779;378;0;4440;65535 
1330;6775;380;0;4440;65535 
1377;6771;373;0;4440;65535 
1317;6767;377;0;4440;65535 
1409;6762;377;0;4440;65535 
1402;6758;380;0;4440;65535 
1385;6754;371;0;4440;65535 
1355;6749;380;0;4440;65535 
1315;6745;378;0;4440;65535 
1413;6741;377;0;4440;65535 
1373;6737;380;0;4440;65535 
1383;6732;372;0;4440;65535 
1362;6728;375;0;4440;65535 
1397;6724;380;0;4440;65535 
1419;6720;377;0;4440;65535 
1321;6716;379;0;4440;65535 
1409;6712;372;0;4440;65535 
1347;6708;377;0;4440;65535 
1362;6703;377;0;4440;65535 
1352;6699;377;0;4440;65535 
1306;6695;377;0;4440;65535 
1325;6690;377;0;4440;65535 
1280;6686;377;0;4440;65535 
1408;6682;377;0;4440;65535 
1411;6677;379;0;4440;65535 
1390;6673;372;0;4440;65535 
1336;6669;377;0;4440;65535 
1307;6665;377;0;4440;65535 
1381;6660;377;0;4440;65535 
1313;6656;379;0;4440;65535 
1351;6652;370;0;4440;65535 
1359;6648;378;0;4440;65535 
1342;6644;376;0;4440;65535 
1327;6640;378;0;4440;65535 
1298;6636;376;0;4440;65535 
1363;6631;374;0;4440;65535 
1309;6627;377;0;4440;65535 
1355;6623;377;0;4440;65535 
1349;6619;376;0;4440;65535 
1334;6614;372;0;4440;65535 
1355;6610;374;0;4440;65535 
1295;6605;379;0;4440;65535 
1382;6601;375;0;4440;65535 
1334;6597;380;0;4440;65535 
1339;6593;372;0;4440;65535 
1286;6588;376;0;4440;65535 
1335;6584;377;0;4440;65535 
1349;6580;376;0;4440;65535 
1310;6576;379;0;4440;65535 
1331;6572;369;0;4440;65535 
1308;6568;378;0;4440;65535 
1346;6564;376;0;4440;65535 
1335;6559;376;0;4440;65535 
1310;6555;378;0;4440;65535 
1312;6551;371;0;4440;65535 
1293;6546;374;0;4440;65535 
1383;6542;378;0;4440;65535 
1366;6538;376;0;4440;65535 
1361;6533;372;0;4440;65535 
1302;6529;375;0;4440;65535 
1306;6525;374;0;4440;65535 
1345;6521;377;0;4440;65535 
1305;6516;377;0;4440;65535 
1320;6512;370;0;4440;65535 
1312;6508;375;0;4440;65535 
1353;6504;375;0;4440;65535 
1330;6500;376;0;4440;65535 
1313;6496;376;0;4440;65535 
1348;6491;369;0;4440;65535 
1320;6487;375;0;4440;65535 
1390;6483;375;0;4440;65535 
1357;6479;374;0;4440;65535 
1349;6474;369;0;4440;65535 
1325;6470;373;0;4440;65535 
1318;6465;376;0;4440;65535 
1380;6461;373;0;4440;65535 
1337;6457;376;0;4440;65535 
1355;6452;368;0;4440;65535 
1302;6448;373;0;4440;65535 
1338;6444;374;0;4440;65535 
1323;6440;373;0;4440;65535 
1270;6436;375;0;4440;65535 
1345;6432;368;0;4440;65535 
1293;6427;373;0;4440;65535 
1321;6423;374;0;4440;65535 
1298;6419;372;0;4440;65535 
1275;6414;367;0;4440;65535 
1279;6410;373;0;4440;65535 
1275;6405;374;0;4440;65535 
1391;6401;372;0;4440;65535 
1341;6397;375;0;4440;65535 
1336;6393;367;0;4440;65535 
1262;6388;372;0;4440;65535 
1306;6384;373;0;4440;65535 
1333;6380;372;0;4440;65535 
1291;6376;374;0;4440;65535 
1342;6372;367;0;4440;65535 
1312;6368;372;0;4440;65535 
1334;6363;371;0;4440;65535 
1322;6359;373;0;4440;65535 
1323;6354;366;0;4440;65535 
1319;6350;372;0;4440;65535 
1326;6345;372;0;4440;65535 
1424;6341;371;0;4440;65535 
1363;6337;373;0;4440;65535 
1325;6333;367;0;4440;65535 
1312;6328;371;0;4440;65535 
1378;6324;369;0;4440;65535 
1363;6320;373;0;4440;65535 
1281;6316;374;0;4440;65535 
1356;6312;365;0;4440;65535 
1330;6307;371;0;4440;65535 
1383;6303;372;0;4440;65535 
1349;6299;370;0;4440;65535 
1340;6294;365;0;4440;65535 
1324;6290;371;0;4440;65535 
1326;6285;371;0;4440;65535 
1397;6281;370;0;4440;65535 
1347;6277;372;0;4440;65535 
1349;6272;362;0;4440;65535 
1329;6268;373;0;4440;65535 
