Acquisition ... fait 
Tapez  1 pour afficher les mesures, 2 pour acquisition avant, 3 pour acquisition arriere: 
Mesures en accel/decel 
Acc_I;Acc_Pos;Acc_Vit;Dec_I;Dec_Pos;Dec_Vit 
2499;2322;65535;1327;8134;375 
3711;2322;65535;351;8139;375 
4012;2323;65535;73;8143;377 
4095;2323;65535;0;8147;384 
4085;2323;65535;0;8151;388 
3964;2323;65535;0;8155;400 
3805;2324;65535;0;8159;404 
3780;2324;65535;0;8163;407 
3747;2324;65535;0;8167;415 
3885;2324;65535;0;8170;421 
3636;2324;65535;0;8174;433 
3348;2325;65535;0;8177;437 
3221;2326;65535;0;8181;443 
3333;2326;65535;0;8184;443 
3515;2327;65535;0;8188;451 
3533;2328;65535;0;8192;458 
3659;2328;65535;0;8195;471 
3793;2328;65535;0;8198;478 
3467;2329;2789;0;8201;484 
3443;2330;2789;0;8204;484 
3413;2331;2789;0;8208;494 
3310;2332;2789;0;8211;502 
3583;2332;2789;0;8214;518 
3550;2333;2035;0;8217;526 
3440;2335;2035;0;8220;526 
3105;2336;2035;0;8223;535 
3298;2336;2035;0;8226;545 
3351;2337;1684;0;8228;545 
3389;2339;1684;0;8232;557 
3157;2340;1684;0;8234;576 
3366;2340;1684;0;8237;587 
3295;2342;1486;0;8240;587 
3414;2343;1486;0;8242;598 
3356;2344;1486;0;8244;598 
3174;2345;1383;0;8248;612 
3005;2347;1383;0;8250;627 
3138;2348;1383;0;8252;627 
3319;2349;1330;0;8255;651 
3090;2350;1330;0;8257;665 
3112;2352;1330;0;8260;665 
3096;2352;1330;0;8261;680 
3165;2354;1313;0;8264;680 
3004;2355;1313;0;8266;700 
3023;2356;1313;0;8268;700 
3025;2357;1274;0;8271;720 
3144;2359;1274;0;8272;720 
3021;2360;1274;0;8275;750 
3332;2361;1244;0;8276;750 
3207;2363;1244;0;8279;772 
3135;2364;1244;0;8281;792 
3018;2365;1225;0;8283;792 
2899;2367;1225;0;8284;792 
3095;2368;1225;0;8287;821 
3181;2369;1223;0;8288;821 
3104;2371;1223;0;8290;849 
2989;2372;1223;0;8292;849 
3255;2373;1238;0;8294;890 
3141;2374;1238;0;8296;890 
2831;2376;1238;0;8297;921 
3007;2377;1217;0;8299;921 
3043;2378;1217;0;8300;921 
2829;2380;1217;0;8302;954 
3175;2381;1185;0;8304;954 
3071;2382;1185;0;8305;995 
3070;2384;1185;0;8307;995 
3030;2385;1147;0;8308;995 
2857;2387;1147;0;8310;1040 
2940;2388;1147;0;8312;1040 
2922;2389;1100;0;8312;1040 
2973;2391;1100;0;8314;1100 
2969;2392;1100;0;8316;1100 
2950;2394;1071;0;8317;1155 
2616;2396;1071;0;8318;1155 
2812;2397;1034;0;8320;1155 
2778;2399;1034;0;8321;1211 
2753;2400;1034;0;8322;1211 
2862;2402;1000;0;8324;1211 
2916;2404;1000;0;8324;1211 
2882;2405;973;0;8326;1284 
2777;2407;973;0;8327;1284 
2952;2408;973;0;8328;1284 
2833;2410;947;0;8329;1363 
