Courant;Position;Vitesse 
2254;0;0 
2254;0;0 
2254;0;0 
3353;0;0 
3053;0;0 
3272;0;0 
3497;0;0 
3497;0;0 
3497;1;0 
2757;1;0 
2653;1;0 
2710;1;0 
3003;1;0 
2616;2;1000 
2616;2;0 
2475;2;0 
2245;3;0 
2873;3;0 
2912;4;0 
3206;4;0 
3206;4;0 
3206;5;0 
2449;5;0 
2732;5;0 
2747;5;0 
2605;6;0 
2605;6;0 
2605;7;0 
2079;7;0 
3072;8;0 
2728;8;0 
2544;9;0 
2752;9;0 
2752;9;0 
2752;10;0 
2453;10;0 
2466;11;0 
2466;12;1000 
1990;12;0 
1990;13;0 
1990;13;0 
2584;14;1000 
2420;15;0 
2567;15;0 
2659;16;0 
2330;17;0 
2330;17;0 
2961;18;0 
1818;18;0 
2485;19;0 
2869;20;0 
2528;21;0 
2528;21;0 
2430;22;1000 
1799;23;0 
2597;23;0 
2762;24;0 
2723;25;0 
2723;25;0 
2723;26;0 
1924;27;0 
2600;28;0 
2294;29;0 
2726;29;0 
2467;30;0 
2467;31;0 
2467;32;0 
2057;33;0 
2542;34;0 
2288;35;0 
2186;36;1000 
2178;37;1000 
2178;37;0 
2227;38;0 
2208;39;0 
2571;40;0 
2462;41;0 
2156;42;1000 
2073;43;1000 
2657;44;1000 
2340;45;0 
2420;46;0 
2420;47;1000 
2474;48;1000 
2474;49;0 
2528;50;1000 
2141;51;0 
2531;52;0 
2157;53;0 
2201;54;1000 
2223;55;1000 
2223;56;0 
2436;57;0 
1995;58;0 
2425;60;0 
2425;61;1000 
2461;61;0 
2461;63;0 
2672;64;1000 
2178;65;0 
2178;66;1000 
2496;67;0 
1797;69;1000 
1797;69;0 
1965;71;1000 
1742;72;0 
2208;73;0 
1988;74;0 
2141;76;1000 
1525;77;1000 
2045;78;1000 
2259;79;0 
2046;81;1000 
2101;82;0 
2101;83;1000 
2405;85;0 
2405;85;0 
1858;87;1000 
2159;88;0 
2292;89;0 
2081;91;0 
1748;92;1000 
1748;93;0 
1748;95;0 
2136;96;1000 
2153;97;0 
1828;99;0 
1828;100;1000 
2192;101;0 
2192;103;0 
2192;104;0 
2183;105;0 
2183;107;1000 
2183;108;1000 
2291;109;0 
1551;111;1000 
1551;113;0 
1956;113;0 
2270;115;1000 
2270;117;1000 
2323;118;1000 
2436;120;0 
2436;121;0 
1915;122;1000 
2385;124;1000 
2266;125;0 
1720;127;0 
2194;129;0 
2194;129;0 
2097;131;1000 
1866;133;0 
1866;134;1000 
1866;136;1000 
2032;137;0 
2032;139;0 
2092;140;1000 
1985;141;0 
2030;143;1000 
2030;145;1000 
2030;146;1000 
2233;148;1000 
2233;149;0 
2233;151;0 
1632;153;0 
1632;154;1000 
2028;156;0 
1846;157;0 
1846;158;0 
1846;160;0 
1929;161;0 
2177;163;0 
1887;165;0 
1486;166;0 
2151;168;0 
2151;170;0 
2630;171;0 
1798;173;0 
1591;175;0 
1804;177;0 
1946;178;0 
2138;180;1000 
2138;181;0 
1668;183;1000 
1668;185;1000 
1668;186;1000 
2027;188;1000 
2027;189;0 
1954;191;1000 
1696;193;0 
1550;195;0 
1550;197;1000 
1995;198;0 
1666;200;1000 
1666;201;0 
1953;203;1000 
1837;205;0 
1494;207;0 
1494;209;1000 
2168;210;0 
2047;212;1000 
2047;213;0 
2054;215;1000 
1650;217;0 
1662;219;0 
2217;221;1000 
1671;222;1000 
2022;224;1000 
1909;226;1000 
2075;228;0 
1945;229;0 
1945;231;1000 
1922;233;0 
1671;235;1000 
1543;237;1000 
1470;238;0 
1470;241;1000 
1470;242;1000 
1865;244;1000 
1865;246;0 
2172;248;1000 
1743;249;0 
2143;251;1000 
2143;253;1000 
2143;255;1000 
1442;257;0 
1442;259;0 
1650;261;1000 
1393;262;1000 
1393;265;1000 
1393;266;1000 
1993;269;0 
1794;270;1000 
1666;272;1000 
1792;274;1000 
1860;276;0 
1940;278;0 
2473;280;1000 
1935;281;0 
1998;284;1000 
2345;285;0 
2101;288;0 
1823;289;0 
1823;291;1000 
2019;293;0 
1825;295;1000 
1825;297;0 
1821;299;1000 
1223;301;0 
1223;303;1000 
1766;305;1000 
1404;307;1000 
1676;309;1000 
1657;311;1000 
1811;313;1000 
1811;315;1000 
1495;317;0 
1557;319;1000 
1557;321;0 
1557;323;0 
1755;325;0 
1483;327;0 
1749;329;0 
1448;331;1000 
1817;333;1000 
1778;335;1000 
1781;337;1000 
1847;339;1000 
1321;341;0 
2260;343;1000 
1980;345;0 
2001;347;1000 
2024;349;0 
2039;351;1000 
1858;353;0 
1784;356;0 
1969;357;0 
1951;360;1000 
1951;361;0 
1768;364;0 
1792;365;0 
1792;368;1000 
2002;370;0 
2002;372;0 
2002;374;0 
1618;376;0 
1689;378;0 
1860;380;0 
