Courant;Position;Vitesse 
0;646;1000 
0;648;0 
0;650;1000 
0;652;1000 
0;655;0 
0;657;0 
0;659;1000 
0;661;0 
0;663;1000 
0;665;1000 
0;667;0 
0;669;0 
0;671;1000 
0;673;1000 
0;675;1000 
0;676;0 
0;679;0 
0;680;1000 
0;682;1000 
0;683;0 
0;685;1000 
0;687;0 
0;689;1000 
0;691;0 
0;692;1000 
0;694;0 
0;695;0 
0;697;1000 
0;699;0 
0;700;1000 
0;701;1000 
0;703;0 
0;704;1000 
0;706;1000 
0;707;0 
0;709;0 
0;710;0 
0;711;0 
0;713;1000 
0;714;1000 
0;715;0 
0;717;1000 
0;718;1000 
0;719;0 
0;720;0 
0;722;1000 
0;723;0 
0;724;1000 
0;725;0 
0;727;0 
0;727;0 
0;729;0 
0;730;1000 
0;731;0 
0;732;1000 
0;733;0 
0;734;0 
0;735;0 
0;736;0 
0;737;0 
0;738;0 
0;739;0 
0;740;1000 
0;741;1000 
0;742;0 
0;743;0 
0;743;0 
0;745;0 
0;746;0 
0;747;0 
0;747;0 
0;748;1000 
0;749;1000 
0;750;1000 
0;751;1000 
0;751;0 
0;752;1000 
0;753;1000 
0;754;0 
0;754;0 
0;755;0 
0;755;0 
0;756;0 
0;757;0 
0;758;0 
0;759;0 
0;759;0 
0;759;0 
0;760;0 
0;761;1000 
0;761;0 
0;762;0 
0;763;1000 
0;763;0 
0;763;0 
0;764;0 
0;765;1000 
0;765;0 
0;766;0 
0;767;0 
0;767;0 
0;767;0 
0;768;0 
0;768;0 
0;769;1000 
0;769;0 
0;770;0 
0;770;0 
0;771;0 
0;771;0 
0;771;0 
0;772;0 
0;772;0 
0;772;0 
0;773;0 
0;773;0 
0;774;0 
0;774;0 
0;775;0 
0;775;0 
0;775;0 
0;775;0 
0;775;0 
0;776;0 
0;776;0 
0;777;1000 
0;777;0 
0;777;0 
0;778;0 
0;778;0 
0;778;0 
0;779;0 
0;779;0 
0;779;0 
0;779;0 
0;779;0 
0;779;0 
0;779;0 
0;779;0 
0;780;0 
0;780;0 
0;780;0 
0;780;0 
0;780;0 
0;780;0 
0;781;0 
0;781;0 
0;781;0 
0;781;0 
0;781;0 
0;781;0 
0;781;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;782;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
0;0;0 
