Mesures en accel/decel 
Acc_I;Acc_Pos;Acc_Vit;Dec_I;Dec_Pos;Dec_Vit 
0;5708;65535;1338;2446;407 
2839;5708;65535;399;2442;408 
3863;5708;65535;93;2438;414 
3667;5708;65535;0;2435;422 
3549;5708;65535;0;2431;422 
3575;5708;65535;0;2427;435 
3679;5708;65535;0;2424;443 
3463;5707;65535;0;2421;443 
3449;5707;65535;0;2417;451 
3311;5707;65535;0;2414;461 
3308;5706;65535;0;2410;462 
3530;5706;65535;0;2407;476 
3587;5706;65535;0;2403;487 
3595;5706;65535;0;2401;487 
3189;5705;65535;0;2398;494 
3375;5704;65535;0;2394;508 
3371;5703;65535;0;2391;509 
3515;5703;65535;0;2388;526 
3477;5702;65535;0;2385;526 
3479;5702;65535;0;2382;539 
3234;5701;65535;0;2379;549 
3206;5701;65535;0;2377;549 
3525;5700;2548;0;2374;565 
3445;5699;2548;0;2371;568 
3186;5698;2548;0;2368;589 
3333;5698;2548;0;2366;589 
3389;5697;2548;0;2363;605 
3633;5696;2262;0;2361;605 
3500;5695;2262;0;2358;619 
3228;5694;2262;0;2355;642 
3013;5694;2262;0;2353;642 
3261;5694;2262;0;2350;648 
3248;5693;2262;0;2348;679 
3472;5692;2140;0;2346;679 
3397;5691;2140;0;2344;702 
3246;5690;2140;0;2342;702 
3275;5690;2140;0;2339;724 
2946;5689;2140;0;2338;724 
3075;5688;1977;0;2335;757 
3149;5687;1977;0;2334;757 
3318;5686;1977;0;2331;773 
3227;5685;1977;0;2330;773 
3250;5684;1793;0;2327;813 
2994;5683;1793;0;2326;813 
2989;5682;1793;0;2323;848 
3006;5681;1793;0;2322;848 
3112;5680;1602;0;2320;882 
3146;5679;1602;0;2318;882 
3044;5678;1602;0;2317;882 
3045;5677;1602;0;2315;935 
3087;5675;1455;0;2314;935 
2998;5674;1455;0;2312;965 
2929;5674;1455;0;2310;965 
3095;5672;1354;0;2309;965 
3141;5671;1354;0;2307;1025 
3213;5670;1354;0;2306;1025 
2903;5669;1354;0;2304;1082 
3057;5667;1309;0;2303;1082 
3137;5666;1309;0;2302;1082 
2938;5665;1309;0;2300;1141 
2844;5663;1266;0;2298;1141 
2873;5662;1266;0;2298;1141 
2760;5661;1266;0;2296;1231 
2994;5659;1217;0;2295;1231 
2813;5658;1217;0;2294;1231 
2797;5657;1217;0;2293;1231 
2867;5655;1181;0;2291;1298 
2808;5654;1181;0;2290;1298 
2855;5653;1181;0;2289;1298 
