Mesures en accel/decel 
Acc_I;Acc_Pos;Acc_Vit;Dec_I;Dec_Pos;Dec_Vit 
0;0;65535;1432;5481;392 
2423;0;65535;426;5485;393 
3537;0;65535;105;5489;398 
3899;1;65535;0;5493;409 
4009;1;65535;0;5497;413 
4095;1;65535;0;5500;418 
4095;1;65535;0;5504;424 
4095;1;65535;0;5507;432 
3901;2;65535;0;5511;443 
3793;2;65535;0;5514;443 
3957;2;65535;0;5518;449 
3907;2;65535;0;5522;454 
3902;3;65535;0;5525;463 
3684;3;65535;0;5529;470 
3549;4;65535;0;5532;485 
3507;4;65535;0;5535;491 
3575;5;65535;0;5538;491 
3685;5;65535;0;5542;498 
3537;6;65535;0;5545;508 
3419;6;65535;0;5547;518 
3577;6;65535;0;5550;518 
3593;7;3647;0;5554;534 
3398;7;3647;0;5556;543 
3242;8;3647;0;5559;553 
3491;9;3647;0;5562;553 
3474;9;3647;0;5565;564 
3401;10;3647;0;5567;576 
3405;10;3647;0;5570;576 
3477;11;2793;0;5573;596 
3310;11;2793;0;5575;608 
3407;12;2793;0;5578;608 
3319;13;2793;0;5581;620 
3162;14;2793;0;5583;635 
3403;14;2793;0;5586;635 
3379;15;2194;0;5588;650 
3351;16;2194;0;5590;650 
3414;17;2194;0;5593;675 
3239;18;2194;0;5595;691 
3330;19;1854;0;5597;691 
3348;20;1854;0;5599;706 
3403;21;1854;0;5602;706 
3313;22;1854;0;5603;727 
3354;22;1854;0;5606;727 
3210;23;1678;0;5608;749 
3216;25;1678;0;5610;749 
3177;26;1678;0;5612;781 
3262;26;1678;0;5614;781 
3091;28;1561;0;5616;801 
3209;29;1561;0;5618;801 
3027;30;1561;0;5620;823 
3171;31;1492;0;5622;823 
3143;32;1492;0;5623;851 
3035;33;1492;0;5626;851 
3076;34;1492;0;5627;881 
3065;35;1410;0;5629;881 
3129;37;1410;0;5630;881 
2994;38;1410;0;5632;923 
3079;39;1327;0;5634;923 
3096;40;1327;0;5635;955 
3069;42;1327;0;5637;955 
3135;43;1256;0;5638;955 
2929;44;1256;0;5640;989 
2876;46;1256;0;5642;989 
2966;47;1197;0;5643;1034 
2880;48;1197;0;5645;1034 
2903;50;1197;0;5646;1034 
2979;51;1171;0;5647;1081 
2991;52;1171;0;5649;1081 
2816;54;1171;0;5650;1081 
3014;55;1131;0;5652;1146 
3034;57;1131;0;5653;1146 
2892;58;1131;0;5654;1146 
2904;59;1087;0;5656;1201 
3005;61;1087;0;5657;1201 
3001;62;1087;0;5658;1201 
2817;64;1054;0;5659;1261 
2779;66;1054;0;5661;1261 
2762;67;1020;0;5662;1261 
2830;69;1020;0;5663;1339 
2873;70;1020;0;5664;1339 
2873;72;1007;0;5666;1339 
2697;74;1007;0;5666;1339 
2829;75;981;0;5667;1424 
2856;77;981;0;5669;1424 
2818;78;981;0;5670;1424 
2861;81;954;0;5670;1424 
2829;82;954;0;5671;1538 
2698;84;934;0;5673;1538 
2675;86;934;0;5674;1538 
2680;87;914;0;5674;1538 
2574;89;914;0;5675;1651 
2723;91;906;0;5676;1651 
2651;93;906;0;5677;1651 
2701;94;906;0;5678;1651 
2754;96;887;0;5679;1781 
2699;98;887;0;5680;1781 
2652;100;867;0;5681;1781 
2639;102;867;0;5682;1781 
2631;104;852;0;5682;1781 
2599;106;852;0;5683;1956 
2549;107;841;0;5684;1956 
2571;110;841;0;5685;1956 
2665;111;837;0;5685;1956 
2579;114;837;0;5686;1956 
2675;115;820;0;5686;1956 
2671;117;820;0;5687;2162 
2645;119;804;0;5688;2162 
2657;121;804;0;5689;2162 
2659;123;794;0;5690;2162 
2569;126;794;0;5690;2162 
2542;127;784;0;5690;2162 
2593;130;784;0;5691;2454 
2632;131;782;0;5692;2454 
2511;134;782;0;5692;2454 
2583;135;767;0;5693;2454 
2516;138;767;0;5694;2454 
2567;140;755;0;5694;2454 
2575;142;755;0;5694;2454 
2495;144;747;0;5695;2833 
2519;146;747;0;5695;2833 
2481;148;737;0;5696;2833 
2547;150;737;0;5697;2833 
2576;153;738;0;5697;2833 
2540;155;727;0;5698;2833 
2564;157;727;0;5698;2833 
2543;159;716;0;5698;2833 
2536;162;716;0;5698;2833 
2469;164;708;0;5699;3413 
2484;166;708;0;5699;3413 
2447;169;700;0;5700;3413 
2519;170;700;0;5700;3413 
2492;173;701;0;5701;3413 
2459;175;690;0;5701;3413 
2442;178;690;0;5702;3413 
2481;180;681;0;5702;3413 
2522;182;681;0;5702;3413 
2448;185;676;0;5702;3413 
2448;187;668;0;5702;3413 
2430;190;668;0;5703;4527 
2441;192;671;0;5703;4527 
2383;194;671;0;5703;4527 
2479;197;663;0;5704;4527 
2424;199;654;0;5704;4527 
2418;202;654;0;5704;4527 
2368;204;649;0;5705;4527 
2383;206;649;0;5705;4527 
2335;209;642;0;5705;4527 
2383;211;647;0;5705;4527 
2269;214;647;0;5706;4527 
2354;217;637;0;5706;4527 
2354;219;630;0;5706;4527 
2367;222;630;0;5706;4527 
2357;224;626;0;5706;4527 
2383;226;626;0;5706;4527 
2345;229;621;0;5706;4527 
2383;232;623;0;5706;4527 
2333;234;623;0;5707;7262 
2394;237;617;0;5707;7262 
2373;239;610;0;5707;7262 
2386;242;610;0;5707;7262 
2341;245;606;0;5707;7262 
2309;247;602;0;5707;7262 
2295;250;602;0;5707;7262 
2371;253;605;0;5707;7262 
2333;255;599;0;5707;7262 
2329;258;599;0;5708;7262 
2395;261;594;0;5708;7262 
2344;263;591;0;5708;7262 
2310;266;591;0;5708;7262 
2304;269;586;0;5708;7262 
2324;271;591;0;5708;7262 
2246;274;591;0;5708;7262 
2322;277;584;0;5708;7262 
2283;280;580;0;5708;7262 
2325;282;580;0;5708;7262 
2256;286;576;0;5708;7262 
2187;288;572;0;5708;7262 
2251;291;576;0;5708;7262 
2178;294;576;0;5708;7262 
2283;297;571;0;5708;7262 
2247;299;567;0;5708;7262 
2243;302;567;0;5708;7262 
2211;305;563;0;5708;7262 
2143;308;560;0;5708;7262 
2239;310;560;0;5708;7262 
2149;314;565;0;5708;7262 
2219;317;559;0;5708;7262 
2204;319;556;0;5708;7262 
2199;322;556;0;5708;7262 
2167;325;553;0;5708;7262 
2102;328;550;0;5708;7262 
2196;330;550;0;5708;7262 
2113;334;555;0;5708;7262 
2197;337;550;0;5708;7262 
2124;339;546;0;5708;7262 
2174;342;546;0;5708;7262 
2136;346;544;0;5708;7262 
2108;348;541;0;5708;7262 
2205;351;547;0;5708;7262 
2117;354;547;0;5708;7262 
2171;357;541;0;5708;7262 
2091;360;537;0;5708;7262 
2149;363;535;0;5708;7262 
2031;366;535;0;5708;7262 
2087;369;532;0;5708;7262 
2150;372;537;0;5708;7262 
