Mesures en accel/decel 
Acc_I;Acc_Pos;Acc_Vit;Dec_I;Dec_Pos;Dec_Vit 
2411;0;65535;1121;3329;2874 
3778;0;65535;257;3335;2872 
4095;0;65535;27;3340;2905 
4095;0;65535;0;3344;2938 
4095;1;65535;0;3348;3010 
4061;1;65535;0;3353;3055 
4095;1;65535;0;3357;3095 
3930;1;65535;0;3362;3133 
3745;2;65535;0;3367;3216 
4031;2;65535;0;3371;3242 
4095;3;65535;0;3375;3272 
4027;3;65535;0;3380;3316 
3993;4;65535;0;3384;3361 
3970;4;65535;0;3388;3450 
3986;5;35012;0;3392;3486 
3905;5;35012;0;3396;3522 
3857;6;35012;0;3400;3572 
3995;7;35012;0;3403;3625 
3822;8;35012;0;3407;3723 
3925;8;35012;0;3411;3766 
3842;9;19535;0;3414;3811 
3740;10;19535;0;3418;3871 
3766;11;19535;0;3421;3933 
3486;12;19535;0;3425;4049 
3712;13;15640;0;3428;4049 
3502;14;15640;0;3432;4103 
3796;15;15640;0;3435;4160 
3643;16;15640;0;3438;4234 
3697;17;14199;0;3441;4313 
3471;18;14199;0;3444;4313 
3630;19;14199;0;3448;4450 
3576;20;14199;0;3451;4523 
3596;21;13618;0;3454;4598 
3570;22;13618;0;3457;4691 
3693;23;13618;0;3460;4691 
3663;24;13618;0;3463;4788 
3710;25;13343;0;3465;4952 
3629;26;13343;0;3468;4952 
3565;28;13343;0;3471;5036 
3507;28;13343;0;3474;5134 
3408;30;12654;0;3476;5134 
3577;31;12654;0;3479;5251 
3390;32;12654;0;3481;5377 
3515;33;12102;0;3484;5377 
3493;35;12102;0;3487;5577 
3521;36;12102;0;3489;5691 
3541;37;11579;0;3492;5691 
3342;38;11579;0;3494;5810 
3450;40;11579;0;3496;5810 
3363;41;10955;0;3499;5964 
3300;42;10955;0;3501;6129 
3452;44;10955;0;3503;6129 
3475;45;10498;0;3505;6381 
3305;46;10498;0;3508;6381 
3296;48;10498;0;3509;6544 
3326;49;10007;0;3512;6544 
3360;51;10007;0;3513;6726 
3219;52;10007;0;3516;6726 
3288;53;9560;0;3517;6940 
3341;55;9560;0;3520;6940 
3359;56;9560;0;3521;7172 
3141;58;9205;0;3524;7172 
3215;60;9205;0;3525;7512 
3187;61;8886;0;3527;7512 
