Tapez  1 pour afficher les mesures, 2 pour acquisition avant, 3 pour acquisition arriere:
Acquisition ... fait
Tapez  1 pour afficher les mesures, 2 pour acquisition avant, 3 pour acquisition arriere:
Mesures en accel/decel
Acc_I;Acc_Pos;Acc_Vit;Dec_I;Dec_Pos;Dec_Vit
1706;0;12;1638;5461;2030
3156;0;12;4095;5465;2030
3624;0;12;4095;5469;2020
3771;0;12;4095;5473;2030
3813;0;12;4095;5477;2010
3822;0;12;4095;5481;1985
3818;0;12;4095;5485;1985
3811;0;12;4095;5489;1975
3803;0;12;4095;5492;1941
3794;1;12;4095;5496;1941
3786;1;12;4095;5500;1941
3777;1;12;4095;5504;1895
3768;2;12;4095;5508;1900
3760;2;12;4095;5511;1900
3751;2;12;4095;5515;1873
3743;3;12;4095;5519;1847
3734;3;12;4095;5523;1860
3725;3;12;4095;5526;1830
3717;4;12;4095;5530;1814
3708;4;12;4095;5533;1814
3700;5;12;4095;5537;1809
3692;5;12;4095;5541;1805
3683;6;216;4095;5544;1773
3675;7;216;4095;5548;1766
3667;7;216;4095;5551;1769
3658;8;216;4095;5554;1731
3650;8;216;4095;5558;1724
3642;9;216;4095;5561;1724
3634;10;309;4095;5565;1724
3627;10;309;4095;5568;1698
3619;11;309;4095;5571;1684
3612;12;309;4095;5575;1680
3604;13;309;4095;5578;1666
3597;13;309;4095;5581;1666
3589;14;375;4095;5585;1646
3582;15;375;4095;5588;1635
3575;16;375;4095;5591;1635
3568;17;375;4095;5594;1596
3560;18;430;4095;5597;1596
3553;19;430;4095;5601;1593
3546;20;430;4095;5604;1600
3539;21;430;4095;5607;1562
3532;22;476;4095;5610;1550
3525;23;476;4095;5613;1550
3518;24;476;4095;5616;1550
3512;25;476;4095;5619;1529
3505;26;517;4095;5622;1509
3498;27;517;4095;5625;1509
3491;28;517;4095;5628;1512
3485;29;517;4095;5631;1495
3478;30;554;4095;5634;1467
3471;31;554;4095;5637;1467
3465;33;554;4095;5640;1465
3458;34;589;4095;5643;1467
3451;35;589;4095;5646;1423
3445;36;589;4095;5648;1423
3438;37;589;4095;5651;1426
3432;39;621;4095;5654;1423
3425;40;621;4095;5657;1423
3419;41;621;4095;5660;1391
3413;43;649;4095;5662;1381
3407;44;649;4095;5665;1381
3401;45;649;4095;5668;1379
3395;47;677;4095;5670;1360
3389;48;677;4095;5673;1360
3383;50;703;4095;5676;1337
3377;51;703;4095;5678;1333
3371;52;703;4095;5681;1333
3365;54;728;4095;5684;1328
3359;55;728;4095;5686;1294
3353;57;728;4095;5689;1294
3348;58;750;4095;5691;1294
3342;60;750;4095;5694;1294
3336;61;750;4095;5696;1294
3330;63;773;4095;5699;1253
3325;65;773;4095;5701;1253
3319;66;795;4095;5704;1253
3314;68;795;4095;5706;1248
3308;70;816;4095;5709;1248
3303;71;816;4095;5711;1223
3297;73;816;4095;5714;1204
3292;75;834;4095;5716;1204
3286;76;834;4095;5718;1212
