Mesures en accel/decel 
Acc_I;Acc_Pos;Acc_Vit;Dec_I;Dec_Pos;Dec_Vit 
2137;5369;65535;1423;2513;405 
3614;5369;65535;401;2509;412 
3580;5369;65535;84;2505;419 
3669;5369;65535;0;2502;425 
3658;5369;65535;0;2498;436 
3745;5368;65535;0;2495;436 
3742;5368;65535;0;2491;434 
3832;5368;65535;0;2488;449 
3800;5368;65535;0;2484;457 
3780;5368;65535;0;2480;465 
3594;5367;65535;0;2477;477 
3571;5367;65535;0;2474;476 
3327;5366;65535;0;2471;476 
3222;5366;65535;0;2468;493 
3481;5365;65535;0;2464;503 
3732;5365;65535;0;2461;512 
3748;5364;65535;0;2459;512 
3762;5364;65535;0;2456;526 
3771;5364;65535;0;2452;526 
3704;5363;65535;0;2449;544 
3716;5363;65535;0;2447;544 
3757;5362;3566;0;2444;557 
3741;5361;3566;0;2441;569 
3423;5361;3566;0;2439;569 
3405;5360;3566;0;2436;586 
3515;5360;3566;0;2433;589 
3533;5360;3566;0;2431;589 
3476;5359;3566;0;2428;611 
3533;5358;2853;0;2425;630 
3283;5357;2853;0;2423;630 
3139;5357;2853;0;2420;646 
2986;5356;2853;0;2418;670 
3347;5356;2853;0;2416;670 
3491;5355;2853;0;2413;678 
3643;5354;2425;0;2412;678 
3738;5353;2425;0;2409;710 
3707;5352;2425;0;2407;710 
3785;5352;2425;0;2405;735 
3543;5352;2425;0;2403;735 
3209;5351;2425;0;2400;760 
3353;5349;2140;0;2399;760 
3337;5349;2140;0;2396;796 
3398;5348;2140;0;2395;796 
3496;5347;2140;0;2393;814 
3323;5346;1916;0;2391;814 
3310;5345;1916;0;2389;859 
3446;5344;1916;0;2388;859 
3477;5344;1916;0;2386;898 
3380;5343;1916;0;2384;898 
3451;5342;1763;0;2382;939 
3273;5340;1763;0;2380;939 
3231;5340;1763;0;2379;939 
3230;5339;1763;0;2377;998 
3298;5338;1639;0;2376;998 
3241;5336;1639;0;2375;998 
3057;5336;1639;0;2373;1033 
3292;5335;1639;0;2372;1033 
3345;5333;1518;0;2370;1107 
3344;5332;1518;0;2369;1107 
3385;5332;1518;0;2368;1107 
3101;5330;1458;0;2366;1174 
3199;5329;1458;0;2365;1174 
3227;5328;1458;0;2364;1174 
3100;5327;1458;0;2362;1252 
2991;5326;1398;0;2361;1252 
3137;5324;1398;0;2360;1252 
3228;5324;1398;0;2359;1252 
3182;5322;1340;0;2358;1367 
3063;5321;1340;0;2356;1367 
3033;5320;1340;0;2356;1367 
3108;5319;1340;0;2355;1367 
3175;5317;1292;0;2353;1465 
2873;5316;1292;0;2352;1465 
3073;5315;1292;0;2352;1465 
3269;5313;1227;0;2351;1465 
3332;5312;1227;0;2349;1623 
3053;5311;1227;0;2348;1623 
3116;5309;1203;0;2348;1623 
3141;5308;1203;0;2347;1623 
2974;5307;1203;0;2346;1791 
2981;5305;1179;0;2345;1791 
3096;5304;1179;0;2344;1791 
3057;5302;1143;0;2344;1791 
3004;5301;1143;0;2343;1791 
3003;5300;1143;0;2342;2003 
3100;5298;1116;0;2341;2003 
2910;5296;1116;0;2340;2003 
2930;5295;1116;0;2340;2003 
3105;5293;1065;0;2340;2003 
3153;5292;1065;0;2339;2003 
2946;5291;1065;0;2338;2339 
3025;5289;1069;0;2337;2339 
3000;5288;1069;0;2337;2339 
2818;5286;1045;0;2336;2339 
2992;5284;1045;0;2336;2339 
2975;5283;1045;0;2335;2339 
3086;5281;1025;0;2335;2339 
2952;5280;1025;0;2334;2739 
3047;5278;1007;0;2333;2739 
2872;5276;1007;0;2333;2739 
2906;5275;1007;0;2332;2739 
3037;5273;969;0;2332;2739 
3109;5272;969;0;2332;2739 
2898;5270;972;0;2332;2739 
2957;5268;972;0;2331;2739 
2871;5267;972;0;2331;2739 
2886;5265;956;0;2330;3426 
2864;5264;956;0;2329;3426 
2985;5261;940;0;2329;3426 
2826;5260;940;0;2329;3426 
2944;5258;930;0;2328;3426 
2680;5256;930;0;2328;3426 
2802;5255;930;0;2328;3426 
2957;5253;902;0;2328;3426 
2905;5251;902;0;2328;3426 
2880;5249;904;0;2327;3426 
2923;5248;904;0;2327;3426 
2749;5246;894;0;2326;4671 
2876;5244;894;0;2326;4671 
2861;5242;879;0;2326;4671 
2737;5240;879;0;2325;4671 
2808;5239;879;0;2325;4671 
2793;5236;876;0;2325;4671 
2754;5235;876;0;2325;4671 
2885;5233;851;0;2324;4671 
2821;5231;851;0;2324;4671 
2772;5229;856;0;2324;4671 
2830;5228;856;0;2324;4671 
2723;5225;848;0;2324;4671 
2793;5224;848;0;2324;4671 
2857;5221;838;0;2324;4671 
2703;5220;838;0;2324;4671 
2826;5218;834;0;2324;4671 
2554;5216;834;0;2324;4671 
2826;5214;807;0;2323;4671 
2931;5212;807;0;2323;4671 
2740;5210;821;0;2323;4671 
2848;5208;821;0;2323;4671 
2722;5206;809;0;2323;4671 
2793;5204;809;0;2323;4671 
2767;5202;800;0;2323;4671 
2613;5200;800;0;2323;4671 
2736;5198;797;0;2323;4671 
2523;5196;797;0;2323;4671 
2775;5194;775;0;2323;4671 
2895;5192;775;0;2323;4671 
2694;5190;781;0;2323;4671 
2763;5188;781;0;2323;4671 
2668;5185;776;0;2323;4671 
2730;5184;776;0;2322;12494 
2716;5181;767;0;2322;12494 
2513;5180;767;0;2322;12494 
2693;5177;764;0;2322;12494 
2561;5175;764;0;2322;12494 
2712;5173;745;0;2322;12494 
2671;5171;745;0;2322;12494 
2664;5169;752;0;2322;12494 
2668;5167;752;0;2322;12494 
2658;5164;746;0;2322;12494 
2631;5163;746;0;2322;12494 
2547;5160;740;0;2322;12494 
2610;5158;738;0;2322;12494 
2448;5156;738;0;2322;12494 
2689;5153;722;0;2322;12494 
2763;5152;722;0;2322;12494 
2591;5149;728;0;2322;12494 
2655;5147;728;0;2322;12494 
2557;5145;724;0;2322;12494 
2525;5143;724;0;2322;12494 
2503;5140;719;0;2322;12494 
2613;5138;717;0;2322;12494 
2361;5136;717;0;2322;12494 
2623;5133;699;0;2322;12494 
2675;5132;699;0;2322;12494 
2556;5129;709;0;2322;12494 
2564;5127;709;0;2322;12494 
2536;5124;706;0;2322;12494 
2523;5122;699;0;2322;12494 
2495;5120;699;0;2322;12494 
2602;5118;698;0;2322;12494 
2396;5116;698;0;2322;12494 
2559;5113;686;0;2322;12494 
2562;5111;686;0;2322;12494 
2568;5108;690;0;2322;12494 
2487;5106;687;0;2322;12494 
2568;5104;687;0;2322;12494 
2630;5101;683;0;2322;12494 
2469;5099;683;0;2322;12494 
2558;5097;683;0;2322;12494 
2408;5095;683;0;2322;12494 
2610;5092;667;0;2322;12494 
2495;5090;673;0;2322;12494 
2557;5088;673;0;2322;12494 
2470;5085;671;0;2322;12494 
2527;5083;671;0;2322;12494 
2469;5080;666;0;2322;12494 
2531;5078;666;0;2322;12494 
2369;5076;666;0;2322;12494 
2522;5073;652;0;2322;12494 
2452;5071;652;0;2322;12494 
2561;5068;657;0;2322;12494 
2468;5065;656;0;2322;12494 
2501;5063;656;0;2322;12494 
2482;5060;651;0;2322;12494 
2471;5058;653;0;2322;12494 
2303;5056;653;0;2322;12494 
2473;5053;637;0;2322;12494 
2469;5051;637;0;2322;12494 
2498;5048;645;0;2322;12494 
2386;5046;644;0;2322;12494 
2447;5044;644;0;2322;12494 
2407;5041;640;0;2322;12494 
2355;5039;640;0;2322;12494 
2239;5036;639;0;2322;12494 
2419;5033;630;0;2322;12494 
2419;5031;630;0;2322;12494 
2449;5028;634;0;2322;12494 
2321;5026;636;0;2322;12494 
2425;5024;636;0;2322;12494 
2398;5021;627;0;2322;12494 
2389;5018;637;0;2322;12494 
2258;5016;637;0;2322;12494 
2437;5013;619;0;2322;12494 
2354;5011;619;0;2322;12494 
2425;5008;627;0;2322;12494 
2261;5005;624;0;2322;12494 
2338;5003;624;0;2322;12494 
2318;5000;624;0;2322;12494 
2370;4998;624;0;2322;12494 
2250;4996;624;0;2322;12494 
2394;4992;611;0;2322;12494 
2292;4990;617;0;2322;12494 
2375;4988;617;0;2322;12494 
2311;4985;618;0;2322;12494 
2399;4982;614;0;2322;12494 
2279;4980;614;0;2322;12494 
2423;4977;612;0;2322;12494 
2282;4975;612;0;2322;12494 
2426;4972;606;0;2322;12494 
2314;4969;610;0;2322;12494 
2266;4967;610;0;2322;12494 
2361;4964;609;0;2322;12494 
2412;4961;607;0;2322;12494 
2241;4959;607;0;2322;12494 
2180;4956;604;0;2322;12494 
2317;4953;599;0;2322;12494 
2287;4951;599;0;2322;12494 
2326;4948;602;0;2322;12494 
2230;4945;602;0;2322;12494 
2299;4943;602;0;2322;12494 
2262;4940;599;0;2322;12494 
2312;4937;601;0;2322;12494 
2164;4935;601;0;2322;12494 
2369;4932;588;0;2322;12494 
2276;4929;596;0;2322;12494 
2272;4927;596;0;2322;12494 
2323;4924;597;0;2322;12494 
2387;4921;594;0;2322;12494 
2161;4919;594;0;2322;12494 
2130;4916;593;0;2322;12494 
2285;4913;587;0;2322;12494 
2289;4911;587;0;2322;12494 
2348;4908;592;0;2322;12494 
2263;4905;592;0;2322;12494 
2377;4903;592;0;2322;12494 
2261;4900;590;0;2322;12494 
2322;4897;591;0;2322;12494 
2214;4895;591;0;2322;12494 
2437;4892;578;0;2322;12494 
2307;4889;586;0;2322;12494 
2263;4886;587;0;2322;12494 
2334;4884;587;0;2322;12494 
2298;4881;583;0;2322;12494 
2295;4878;583;0;2322;12494 
2162;4876;583;0;2322;12494 
2334;4872;576;0;2322;12494 
2268;4870;580;0;2322;12494 
2324;4867;580;0;2322;12494 
2278;4864;576;0;2322;12494 
2345;4861;580;0;2322;12494 
2155;4859;580;0;2322;12494 
2148;4856;579;0;2322;12494 
2266;4853;566;0;2322;12494 
2186;4851;566;0;2322;12494 
