?afficher les mesures, 2 pour acquisition avant, 3 pour acquisition arriere
 Acquisition ... fait
 Tapez  1 pour afficher les mesures, 2 pour acquisition avant, 3 pour acquisition arriere
 Mesures en accel/decel 
Acc_I;Acc_Pos;Acc_Vit;Dec_I;Dec_Pos;Dec_Vit
 0;0;0;619;3260;1960 
 2465;0;0;125;3264;1955 
 3396;0;0;0;3268;1932 
 3415;0;0;0;3272;1909 
 3424;1;0;0;3275;1882 
 3408;1;0;0;3279;1834 
 3256;1;0;0;3282;1834 
 3227;1;0;0;3286;1814 
 3318;1;0;0;3290;1793 
 3503;2;0;0;3294;1769 
 3437;2;0;0;3297;1742 
 3390;2;0;0;3300;1694 
 3498;2;0;0;3303;1677 
 3521;2;0;0;3306;1677 
 3284;3;0;0;3310;1652 
 3250;3;0;0;3314;1632 
 3093;3;0;0;3316;1603 
 3196;4;0;0;3319;1556 
 3231;4;0;0;3322;1556 
 3203;5;0;0;3326;1535 
 3034;5;0;0;3329;1518 
 2911;6;0;0;3331;1489 
 2790;6;0;0;3334;1489 
 2888;6;0;0;3337;1462 
 2928;7;201;0;3340;1415 
 2982;7;201;0;3342;1415 
 3023;8;201;0;3346;1398 
 3068;9;201;0;3348;1372 
 2963;9;201;0;3351;1349 
 2761;10;201;0;3354;1349 
 2701;10;201;0;3356;1317 
 2806;11;284;0;3358;1317 
 2880;11;284;0;3361;1273 
 2901;12;284;0;3363;1251 
 3025;13;284;0;3366;1251 
 2910;14;284;0;3369;1230 
 2913;14;284;0;3371;1203 
 2967;15;348;0;3374;1203 
 2790;16;348;0;3375;1173 
 2787;17;348;0;3378;1173 
 2773;18;348;0;3380;1134 
 2925;18;348;0;3382;1134 
 2804;19;389;0;3385;1109 
 2665;20;389;0;3386;1109 
 2665;21;389;0;3389;1085 
 2862;22;389;0;3390;1085 
 3024;22;389;0;3393;1059 
 2833;23;430;0;3395;1029 
 2955;24;430;0;3397;1029 
 2851;25;430;0;3398;1029 
 2681;26;430;0;3401;988 
 2764;27;473;0;3402;988 
 2769;28;473;0;3405;966 
 2741;29;473;0;3406;966 
 2680;30;473;0;3408;940 
 2610;31;509;0;3410;940 
 2659;32;509;0;3412;913 
 2810;34;509;0;3414;913 
 2604;34;509;0;3415;883 
 2554;35;541;0;3417;883 
 2559;37;541;0;3418;883 
 2756;38;541;0;3420;844 
 2763;39;562;0;3422;844 
 2653;40;562;0;3423;820 
 2540;42;562;0;3425;820 
 2783;42;562;0;3426;820 
 2679;43;591;0;3428;794 
 2742;45;591;0;3430;794 
 2519;46;591;0;3431;766 
 2617;47;623;0;3433;766 
 2736;49;623;0;3434;766 
 2584;50;623;0;3435;735 
 2554;51;649;0;3437;735 
 2741;53;649;0;3438;735 
 2664;54;649;0;3440;696 
 2558;55;674;0;3441;696 
 2528;57;674;0;3442;696 
 2651;58;674;0;3444;670 
 2609;59;687;0;3445;670 
 2450;61;687;0;3446;670 
 2545;62;687;0;3447;641 
 2534;64;710;0;3449;641 
 2595;65;710;0;3450;641 
 2444;66;710;0;3451;612 
 2551;68;735;0;3452;612 
 2474;70;735;0;3454;612 
 2408;71;757;0;3454;612 
 2549;73;757;0;3455;579 
