Courant;Position;Vitesse 
0;782;0 
0;782;0 
3005;782;0 
3026;781;-1000 
3282;781;0 
3152;781;0 
3199;781;0 
0;781;0 
2870;780;0 
2796;780;0 
2488;780;0 
2514;779;0 
3072;779;0 
0;779;0 
0;779;0 
2038;778;0 
2366;778;0 
2954;777;0 
2761;776;-1000 
0;776;0 
0;775;0 
2280;775;0 
2334;774;-1000 
2706;773;-1000 
2418;773;0 
2096;772;0 
0;771;0 
2848;771;0 
1734;770;0 
2544;769;0 
2313;768;0 
2660;767;-1000 
0;767;0 
0;766;0 
2368;765;0 
2174;764;0 
2443;763;0 
1742;762;-1000 
2708;761;-1000 
0;760;0 
2743;759;0 
2220;759;0 
2341;758;0 
2259;757;0 
2473;755;0 
0;755;0 
0;754;-1000 
2172;753;0 
1670;752;0 
2157;751;0 
1858;751;0 
0;750;0 
0;749;0 
1978;748;0 
2284;747;0 
1991;746;0 
2333;745;-1000 
1879;744;0 
0;743;-1000 
21;743;0 
2186;742;0 
2626;741;0 
2382;740;0 
2658;739;0 
0;739;0 
0;738;0 
2225;737;0 
2216;736;0 
2414;735;0 
2244;734;-1000 
2726;733;-1000 
0;732;-1000 
2643;731;-1000 
2258;731;0 
1826;730;0 
2161;729;0 
2238;728;0 
0;727;0 
0;726;-1000 
2068;725;-1000 
676;724;0 
2278;723;0 
1920;723;0 
0;721;-1000 
0;720;-1000 
2360;719;-1000 
2308;719;0 
2190;717;0 
2156;716;-1000 
2419;715;-1000 
0;715;0 
0;713;0 
1792;712;-1000 
2581;711;-1000 
1728;711;0 
2347;709;-1000 
0;708;-1000 
0;707;0 
2026;706;0 
2108;705;-1000 
2106;704;0 
2263;703;0 
2152;702;-1000 
0;701;0 
2418;700;0 
2230;699;0 
2285;698;0 
2189;696;-1000 
2469;695;-1000 
0;694;0 
0;693;-1000 
1730;692;0 
2424;691;0 
1894;690;0 
1848;688;-1000 
0;687;-1000 
0;686;0 
2218;685;-1000 
1819;683;0 
2035;683;0 
2447;681;0 
2180;680;0 
0;679;0 
3138;678;-1000 
1904;676;-1000 
2294;675;-1000 
2050;674;-1000 
1932;673;0 
0;671;-1000 
0;671;0 
1849;669;-1000 
1984;668;0 
1969;667;0 
2287;665;-1000 
2062;664;0 
0;663;0 
2432;661;-1000 
