Courant;Position;Vitesse 
0;0;65535 
0;0;65535 
0;0;65535 
0;0;65535 
2900;0;65535 
2671;1;27026 
2925;1;27026 
2775;1;27026 
2397;1;27026 
2332;1;27026 
2317;2;27026 
2617;2;27026 
2686;3;27026 
2686;3;27026 
2686;3;27026 
2645;4;27026 
2608;4;27026 
2224;4;27026 
2750;4;27026 
2242;4;27026 
2533;5;1750 
2533;5;1750 
2426;5;1750 
2443;6;1750 
2669;7;1750 
2763;7;1750 
2757;7;1750 
2799;7;1750 
2601;8;1750 
2414;8;1750 
2495;8;1750 
2495;8;1750 
2495;9;1446 
2495;9;1446 
2495;10;1446 
2516;11;1446 
2293;11;1446 
2505;12;1446 
2308;12;1446 
2399;12;1446 
2095;12;1446 
2019;13;1039 
2152;14;1039 
2351;14;1039 
2351;15;1039 
2351;16;1039 
2351;16;1039 
2351;16;1039 
2351;17;917 
2213;17;917 
2377;18;917 
2518;19;917 
2339;19;917 
1959;20;917 
2443;20;917 
2080;21;833 
2213;21;833 
2084;22;833 
2084;23;833 
2104;24;833 
2433;24;833 
2139;25;734 
2366;25;734 
2394;27;734 
2475;27;734 
2475;28;734 
2475;28;734 
2030;29;681 
1969;30;681 
2085;31;681 
2198;32;681 
2088;32;681 
1925;32;681 
1857;33;672 
1925;34;672 
2038;35;672 
2038;36;672 
2038;36;672 
2038;37;649 
2038;38;649 
2290;39;649 
1987;40;649 
2306;40;649 
2024;41;602 
2105;42;602 
2135;43;602 
1980;44;602 
2078;44;602 
1996;45;554 
1996;47;554 
1996;48;554 
1996;48;554 
1996;49;517 
1930;50;517 
1874;51;517 
1853;52;517 
2063;53;523 
2074;54;523 
1631;55;523 
1885;56;523 
2057;56;523 
2027;57;528 
1986;59;528 
2041;60;528 
2431;60;528 
1654;61;512 
1530;62;512 
1956;63;512 
2078;64;512 
2078;65;488 
2078;66;488 
2078;67;488 
1724;68;488 
1826;69;459 
2005;71;459 
1920;72;459 
1905;72;459 
1761;73;455 
1493;75;455 
1809;76;455 
1833;76;455 
1833;78;456 
1833;79;456 
1833;80;456 
1833;81;450 
1751;82;450 
1908;83;450 
2092;84;450 
1879;85;440 
2058;87;440 
1737;88;440 
1764;88;440 
1448;90;417 
1765;91;417 
1897;92;417 
1969;93;418 
1956;95;418 
1679;96;418 
1821;97;417 
2060;98;417 
2023;99;417 
2023;100;417 
2023;101;413 
2023;103;413 
2001;104;413 
1752;105;409 
1679;107;409 
1969;108;409 
1837;108;409 
1473;110;388 
1742;111;388 
1716;112;388 
1831;114;390 
1831;115;390 
1831;116;390 
1831;117;392 
1831;119;392 
1926;120;392 
1750;121;391 
1885;123;391 
1937;124;391 
1719;124;391 
1616;126;385 
1720;128;385 
1667;128;385 
1596;130;369 
1596;132;369 
1596;132;369 
1596;134;370 
2140;135;370 
2090;136;370 
2013;137;375 
2052;139;375 
1975;140;375 
1975;141;375 
2015;143;375 
2131;144;375 
1933;145;371 
2183;147;371 
1977;148;371 
2010;149;356 
2003;151;356 
1742;152;356 
1681;153;356 
2038;155;356 
2038;156;356 
2038;157;358 
2038;159;358 
2038;160;358 
1784;161;360 
2012;163;360 
2138;164;360 
1997;165;358 
1932;167;358 
1723;168;358 
1663;170;343 
1728;171;343 
1704;172;343 
1704;174;343 
1704;176;343 
1704;176;343 
1704;178;346 
1871;180;346 
1826;181;347 
1818;182;347 
1937;184;347 
1644;185;345 
2005;187;345 
1801;188;345 
1725;189;332 
1894;191;332 
1894;192;332 
1894;194;333 
9;195;333 
2001;196;333 
1969;198;335 
1914;200;335 
1961;200;335 
1961;203;335 
1961;204;335 
1615;205;333 
2061;207;333 
1893;208;333 
1641;209;320 
1913;211;320 
1523;212;320 
1626;214;323 
1524;216;323 
1701;217;324 
1701;219;324 
1701;220;324 
1701;221;327 
1701;223;327 
1701;224;327 
1882;226;325 
1891;228;325 
1665;229;313 
1878;231;313 
1505;232;313 
1569;233;315 
1749;235;315 
1896;236;315 
1786;238;317 
1786;240;317 
1786;241;318 
1786;243;318 
11;244;318 
1853;246;317 
1973;248;317 
1754;248;317 
1959;251;305 
1838;252;305 
1666;253;308 
1680;255;308 
1826;256;308 
1884;258;309 
1884;260;309 
1884;261;309 
2040;263;309 
2042;264;309 
1851;266;308 
1957;268;308 
1957;269;296 
1957;271;296 
1957;272;296 
1807;274;300 
1739;276;300 
1713;277;301 
1907;279;301 
1988;280;301 
1518;282;301 
1636;284;301 
1245;285;300 
1820;287;300 
1820;288;300 
1820;290;291 
1820;292;291 
1820;293;293 
1820;295;293 
1884;296;293 
1659;299;295 
1776;300;295 
1632;301;294 
1525;303;294 
1407;304;294 
1709;307;293 
1529;308;293 
1519;310;283 
1519;312;283 
1519;313;286 
1519;315;286 
1722;316;286 
1725;318;288 
1717;320;288 
1578;321;288 
1726;324;288 
1726;325;286 
1873;327;286 
1398;328;286 
1635;330;276 
1467;332;276 
1467;333;281 
1646;336;281 
1770;337;283 
1871;339;283 
1624;340;283 
1645;342;282 
1645;344;282 
1645;345;280 
1645;348;280 
1571;349;271 
1989;351;271 
1679;352;271 
1811;354;275 
1992;356;275 
1642;357;276 
1521;360;276 
1040;361;276 
1763;363;276 
1763;364;276 
1763;367;274 
1763;368;274 
1763;370;266 
1763;372;266 
1687;373;270 
1684;376;270 
1710;377;271 
1836;379;271 
1569;380;271 
1712;383;271 
1875;384;271 
1890;386;270 
1705;388;270 
1705;390;262 
1705;392;262 
1852;393;265 
1696;395;265 
1830;397;267 
1931;399;267 
1929;400;267 
1864;403;266 
1864;404;266 
1839;406;265 
1755;408;265 
1575;410;257 
1606;412;257 
2017;413;261 
1716;416;261 
1631;417;263 
1591;419;263 
1459;420;263 
1459;423;262 
1459;424;262 
1459;427;263 
1459;428;263 
1564;430;254 
1426;432;254 
1604;434;259 
1618;436;259 
1651;437;261 
1409;439;261 
1267;441;260 
1699;443;260 
1552;444;260 
1552;447;259 
1552;448;259 
1552;451;252 
1552;452;252 
1893;454;255 
1990;456;255 
1814;458;258 
1650;460;258 
1654;461;257 
1649;464;257 
1284;465;257 
1802;468;257 
1423;469;250 
1601;471;250 
1601;473;253 
1989;475;253 
1875;476;253 
1730;479;255 
1903;480;255 
1898;483;256 
1960;484;256 
1960;486;257 
1960;488;257 
1404;490;249 
1449;492;249 
1613;494;251 
1561;496;251 
1682;497;254 
1269;500;254 
1109;501;254 
1474;504;254 
1287;505;254 
1287;507;254 
1287;509;246 
1287;511;246 
1287;513;250 
1442;515;250 
1706;516;250 
1731;519;252 
1927;520;252 
1871;523;252 
1717;524;252 
1804;527;253 
1559;528;253 
1571;530;245 
1571;532;245 
1571;534;248 
1571;536;248 
1571;538;249 
1725;540;249 
1569;542;250 
1739;544;250 
1683;545;250 
1793;548;250 
1427;549;242 
1474;552;242 
1461;553;245 
1466;556;245 
1578;557;246 
1866;559;246 
1169;561;248 
1501;563;248 
1253;565;247 
1827;567;247 
1579;569;240 
1579;571;240 
1579;573;243 
1579;575;243 
1652;577;245 
1674;579;245 
1637;580;245 
1813;583;244 
1325;584;244 
1631;587;245 
1440;588;245 
1642;591;237 
1497;592;237 
1497;595;241 
1497;596;241 
1497;599;244 
1497;600;244 
1766;603;243 
1580;604;243 
1721;607;244 
1611;608;244 
1793;611;236 
1482;612;236 
1488;615;240 
1671;616;240 
1731;619;243 
1731;620;243 
1731;623;243 
1731;624;243 
1896;627;241 
1655;628;241 
1754;631;235 
1690;632;235 
1714;635;238 
1714;636;238 
1771;639;240 
1628;640;240 
1808;643;240 
1669;644;240 
1778;647;240 
1726;648;240 
1691;651;232 
1527;652;232 
1627;655;237 
1724;656;237 
1724;659;238 
1724;661;238 
1724;663;238 
1724;665;237 
1701;667;237 
1396;669;230 
1737;671;230 
1505;673;234 
1721;676;234 
1499;677;235 
1492;680;235 
1140;681;235 
1534;684;235 
1534;685;234 
1534;688;234 
1534;689;229 
1949;692;229 
1714;694;231 
1877;696;231 
1666;698;234 
1775;700;234 
1775;702;234 
1746;704;234 
1933;706;233 
1648;708;233 
1732;711;227 
1629;712;227 
1835;715;230 
1656;716;230 
1622;719;232 
1491;720;232 
1910;723;230 
1910;724;230 
1910;727;232 
1910;729;224 
1910;732;224 
1533;733;228 
1577;736;228 
1578;737;229 
1650;740;229 
1360;742;229 
1517;744;229 
1732;746;229 
1727;748;229 
1530;750;222 
1530;752;222 
1530;755;226 
1530;756;226 
1530;759;228 
1602;760;228 
1826;763;227 
1437;765;228 
1765;767;228 
1474;769;220 
1458;772;220 
1450;773;224 
1602;776;224 
1595;778;226 
1595;780;226 
1595;782;225 
10;784;225 
1820;787;227 
1501;788;227 
1897;791;220 
1721;793;223 
1721;795;223 
1721;797;225 
1491;800;225 
1280;801;224 
1506;804;224 
1615;806;225 
1657;808;225 
1191;810;219 
1417;812;219 
1630;815;222 
1528;816;222 
1528;819;224 
1528;820;224 
1528;823;223 
1528;825;223 
1528;828;223 
1425;829;218 
1595;832;218 
1532;834;219 
1899;836;219 
1420;838;222 
1618;840;222 
1677;843;222 
1415;844;222 
1612;847;221 
1612;849;216 
1612;852;216 
1612;853;219 
10;856;219 
1553;858;220 
1744;860;220 
1750;862;221 
1898;864;221 
1898;867;220 
1391;869;214 
1520;871;214 
1399;873;218 
1452;876;218 
1452;877;219 
1452;880;219 
1652;882;219 
1703;884;219 
1532;887;220 
1587;888;220 
1587;891;213 
1587;893;216 
1587;896;216 
1474;897;219 
1587;900;219 
1594;902;218 
1832;904;218 
1761;907;218 
1373;908;218 
1544;911;212 
1354;913;215 
1414;916;215 
1414;917;219 
1414;920;219 
1414;922;217 
1414;924;217 
1414;927;218 
1605;928;218 
1707;931;211 
1562;933;214 
1567;936;214 
1489;937;217 
1521;940;217 
1485;942;217 
1736;944;217 
1668;947;216 
1668;948;216 
1668;951;210 
1668;953;213 
1683;956;213 
1557;957;217 
1701;960;217 
1611;962;215 
1904;964;215 
1904;967;216 
1328;969;210 
1508;971;210 
1405;973;213 
1367;976;213 
1367;978;216 
1867;980;216 
1641;983;216 
1577;984;216 
1607;987;215 
1401;989;210 
1401;992;210 
1401;993;214 
1401;996;214 
1567;998;215 
1657;1000;215 
1744;1003;216 
1479;1004;216 
1714;1007;216 
1205;1009;209 
1337;1012;209 
1375;1013;215 
1605;1016;215 
1605;1018;215 
1605;1020;215 
1605;1023;216 
1605;1024;216 
1605;1027;216 
1370;1029;209 
1517;1032;209 
1512;1034;214 
1846;1036;214 
1602;1039;216 
1512;1040;216 
1606;1043;214 
1289;1045;216 
1541;1048;216 
1541;1049;209 
1541;1052;209 
1815;1054;213 
1611;1056;213 
1732;1059;215 
1602;1060;215 
1639;1063;215 
1385;1065;215 
1385;1068;215 
1011;1070;210 
1481;1072;210 
1711;1074;213 
1630;1076;213 
1956;1079;216 
1558;1081;215 
1371;1083;215 
1104;1085;215 
1393;1088;215 
1393;1090;209 
1393;1092;209 
1393;1095;213 
1393;1096;213 
1530;1099;215 
1028;1101;214 
1526;1104;214 
1532;1105;215 
1650;1108;215 
1185;1110;209 
1481;1112;209 
1600;1115;213 
1412;1117;214 
1412;1119;214 
1412;1121;215 
1412;1124;215 
1412;1126;214 
1412;1128;214 
1677;1131;209 
1599;1132;209 
1664;1135;212 
1543;1137;212 
1420;1140;212 
1440;1142;214 
1631;1144;214 
1676;1147;214 
1263;1148;214 
1263;1151;208 
1797;1153;210 
1426;1156;210 
1272;1157;213 
1633;1160;213 
1744;1162;213 
1744;1164;213 
1744;1167;213 
1744;1169;207 
1518;1172;207 
1435;1173;210 
1665;1176;210 
1583;1178;213 
1854;1180;213 
1595;1183;211 
1187;1184;211 
1449;1187;214 
1131;1189;206 
1131;1192;206 
1131;1194;210 
1131;1196;210 
1131;1199;212 
1564;1200;212 
1627;1203;212 
1305;1205;212 
1634;1208;212 
1106;1210;206 
1431;1212;206 
1468;1215;209 
1216;1217;211 
