Courant;Position;Vitesse 
0;409;226 
0;407;226 
0;404;226 
0;403;226 
0;400;234 
0;399;234 
0;396;241 
0;395;241 
0;392;249 
0;391;249 
0;389;260 
0;387;260 
0;385;264 
0;383;264 
0;382;264 
0;380;274 
0;379;274 
0;377;283 
0;375;65535 
0;374;65535 
0;372;294 
0;371;294 
0;369;307 
0;367;307 
0;366;307 
0;364;314 
0;363;314 
0;361;329 
0;360;329 
0;359;329 
0;357;340 
0;356;340 
0;355;340 
0;353;356 
0;352;356 
0;351;356 
0;349;375 
0;348;375 
0;347;375 
0;346;375 
0;344;388 
0;343;388 
0;342;388 
0;341;408 
0;340;408 
0;339;408 
0;338;408 
0;336;428 
0;335;428 
0;335;428 
0;333;452 
0;332;452 
0;331;452 
0;331;452 
0;329;485 
0;328;485 
0;327;485 
0;327;485 
0;326;485 
0;325;506 
0;323;506 
0;323;506 
0;322;506 
0;321;547 
0;320;547 
0;319;547 
0;319;547 
0;318;547 
0;317;586 
0;316;586 
0;315;586 
0;315;586 
0;314;586 
0;313;640 
0;313;640 
0;312;640 
0;311;640 
0;311;640 
0;310;640 
0;309;712 
0;309;712 
0;308;712 
0;307;712 
0;307;712 
0;306;712 
0;306;712 
0;305;782 
0;304;782 
0;304;782 
0;303;782 
0;303;782 
0;303;782 
0;302;782 
0;301;896 
0;301;896 
0;300;896 
0;300;896 
0;299;896 
0;299;896 
0;299;896 
0;298;896 
0;298;896 
0;297;1038 
0;297;1038 
0;296;1038 
0;296;1038 
0;295;1038 
0;295;1038 
0;295;1038 
0;295;1038 
0;294;1038 
0;294;1038 
0;294;1038 
0;293;1285 
0;293;1285 
0;292;1285 
0;292;1285 
0;292;1285 
0;291;1285 
0;291;1285 
0;291;1285 
0;291;1285 
0;291;1285 
0;291;1285 
0;290;1285 
0;290;1285 
0;290;1285 
0;290;1285 
0;289;1813 
0;289;1813 
0;289;1813 
0;289;1813 
0;288;1813 
0;288;1813 
0;288;1813 
0;288;1813 
0;288;1813 
0;287;1813 
0;287;1813 
0;287;1813 
0;287;1813 
0;287;1813 
0;287;1813 
0;287;1813 
0;287;1813 
0;287;1813 
0;287;1813 
0;287;1813 
0;287;1813 
0;287;1813 
0;287;1813 
0;287;1813 
0;287;1813 
0;287;1813 
0;287;1813 
0;287;1813 
0;287;1813 
0;287;1813 
0;287;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
0;286;1813 
