Courant;Position;Vitesse 
0;1741;195 
0;1743;195 
0;1746;200 
0;1748;203 
0;1751;203 
0;1753;210 
0;1755;210 
0;1757;218 
0;1759;218 
0;1762;220 
0;1763;220 
0;1766;230 
0;1767;230 
0;1770;234 
0;1771;234 
0;1774;243 
0;1775;243 
0;1777;251 
0;1779;251 
0;1781;256 
0;1783;256 
0;1785;267 
0;1787;267 
0;1788;274 
0;1790;274 
0;1791;274 
0;1793;285 
0;1795;285 
0;1796;296 
0;1798;296 
0;1799;296 
0;1801;302 
0;1803;302 
0;1804;319 
0;1806;319 
0;1807;319 
0;1808;329 
0;1810;329 
0;1811;329 
0;1812;347 
0;1814;347 
0;1815;347 
0;1816;364 
0;1818;364 
0;1819;364 
0;1820;377 
0;1822;377 
0;1823;377 
0;1824;405 
0;1825;405 
0;1826;405 
0;1827;405 
0;1828;425 
0;1829;425 
0;1831;425 
0;1831;425 
0;1832;460 
0;1833;460 
0;1835;460 
0;1835;460 
0;1836;496 
0;1837;496 
0;1838;496 
0;1839;496 
0;1840;528 
0;1841;528 
0;1842;528 
0;1843;528 
0;1843;528 
0;1844;586 
0;1845;586 
0;1846;586 
0;1846;586 
0;1847;586 
0;1847;586 
0;1848;639 
0;1849;639 
0;1850;639 
0;1851;639 
0;1851;639 
0;1851;639 
0;1852;714 
0;1853;714 
0;1854;714 
0;1854;714 
0;1855;714 
0;1855;714 
0;1856;804 
0;1856;804 
0;1857;804 
0;1858;804 
0;1858;804 
0;1859;804 
0;1859;804 
0;1859;804 
0;1860;903 
0;1860;903 
0;1861;903 
0;1862;903 
0;1862;903 
0;1863;903 
0;1863;903 
0;1863;903 
0;1863;903 
0;1864;1105 
0;1864;1105 
0;1865;1105 
0;1865;1105 
0;1865;1105 
0;1866;1105 
0;1866;1105 
0;1867;1105 
0;1867;1105 
0;1867;1105 
0;1867;1105 
0;1867;1105 
0;1868;1406 
0;1868;1406 
0;1868;1406 
0;1869;1406 
0;1869;1406 
0;1869;1406 
0;1870;1406 
0;1870;1406 
0;1870;1406 
0;1871;1406 
0;1871;1406 
0;1871;1406 
0;1871;1406 
0;1871;1406 
0;1871;1406 
0;1871;1406 
0;1871;1406 
