Mesures en accel/decel 
Acc_I;Acc_Pos;Acc_Vit;Dec_I;Dec_Pos;Dec_Vit 
753;26564;65535;1124;23696;3364 
3479;26564;65535;247;23692;3378 
3940;26563;65535;22;23688;3416 
3974;26563;65535;0;23684;3487 
4027;26563;65535;0;23680;3469 
3886;26563;65535;0;23676;3571 
4013;26562;65535;0;23672;3631 
4049;26562;65535;0;23669;3681 
4095;26562;65535;0;23665;3764 
4095;26561;65535;0;23661;3753 
4067;26561;65535;0;23658;3869 
4095;26560;65535;0;23654;3941 
4095;26560;65535;0;23651;3941 
3820;26560;65535;0;23648;3998 
3710;26559;65535;0;23644;4094 
3872;26558;30470;0;23640;4088 
3799;26557;30470;0;23637;4225 
3535;26557;30470;0;23634;4313 
4067;26556;30470;0;23631;4313 
3774;26556;30470;0;23628;4386 
3606;26555;30470;0;23624;4502 
3807;26553;18982;0;23621;4505 
3654;26552;18982;0;23619;4505 
3771;26552;18982;0;23616;4668 
3549;26551;18982;0;23612;4776 
3843;26550;15185;0;23609;4870 
3438;26548;15185;0;23607;4870 
3589;26548;15185;0;23604;5013 
3424;26547;15185;0;23601;5033 
3441;26545;13480;0;23599;5033 
3264;26544;13480;0;23596;5232 
3444;26543;13480;0;23593;5369 
3533;26542;12349;0;23591;5369 
3591;26541;12349;0;23588;5506 
3712;26540;12349;0;23586;5712 
3361;26539;12349;0;23584;5712 
3438;26537;11825;0;23581;5781 
3641;26536;11825;0;23579;5781 
3256;26535;11825;0;23576;6054 
3445;26533;11284;0;23574;6246 
3397;26532;11284;0;23572;6246 
3287;26531;11284;0;23570;6445 
3501;26529;10804;0;23568;6445 
3279;26528;10804;0;23566;6739 
3268;26527;10804;0;23564;6739 
3234;26525;10538;0;23562;6878 
3160;26524;10538;0;23560;6878 
3186;26523;10538;0;23558;7252 
3437;26521;10108;0;23556;7252 
3638;26520;10108;0;23554;7542 
3215;26519;10108;0;23552;7542 
3242;26517;10124;0;23551;7542 
3437;26516;10124;0;23549;7861 
3197;26514;10059;0;23547;7861 
3363;26513;10059;0;23545;8318 
3346;26512;10059;0;23544;8318 
3363;26510;9888;0;23542;8591 
3179;26508;9888;0;23540;8591 
3243;26507;9888;0;23539;8591 
3312;26506;9804;0;23538;9159 
3117;26504;9804;0;23536;9159 
3226;26503;9804;0;23535;9159 
3367;26501;9494;0;23533;9634 
3536;26500;9494;0;23532;9634 
3182;26499;9494;0;23531;9634 
3072;26497;9484;0;23529;10155 
3203;26496;9484;0;23528;10155 
3147;26494;9284;0;23527;10155 
3161;26492;9284;0;23525;10865 
3060;26491;9284;0;23524;10865 
3128;26489;9010;0;23523;10865 
3141;26488;9010;0;23522;11362 
3038;26486;8756;0;23520;11362 
2881;26484;8756;0;23520;11362 
3050;26483;8756;0;23519;11362 
3184;26481;8339;0;23517;12336 
3134;26479;8339;0;23516;12336 
3084;26477;8282;0;23516;12336 
3154;26476;8282;0;23514;13242 
3054;26474;8087;0;23513;13242 
3029;26472;8087;0;23512;13242 
3017;26470;7907;0;23511;13242 
2936;26468;7907;0;23510;14288 
2908;26467;7907;0;23509;14288 
2847;26465;7792;0;23508;14288 
2913;26463;7792;0;23508;14288 
3091;26461;7493;0;23507;14288 
3107;26460;7493;0;23506;15754 
2905;26457;7532;0;23505;15754 
2963;26456;7532;0;23504;15754 
2984;26453;7404;0;23504;15754 
2997;26452;7404;0;23503;15754 
3038;26450;7293;0;23502;17268 
2970;26448;7293;0;23501;17268 
2939;26446;7210;0;23500;17268 
2766;26444;7210;0;23500;17268 
2861;26442;6975;0;23499;17268 
3060;26440;6975;0;23498;19919 
2942;26438;6985;0;23498;19919 
2913;26436;6985;0;23497;19919 
2870;26433;6904;0;23496;19919 
2897;26432;6904;0;23496;19919 
2952;26429;6802;0;23496;19919 
2859;26428;6802;0;23495;19919 
2834;26425;6728;0;23494;23153 
2777;26423;6728;0;23493;23153 
2886;26421;6498;0;23493;23153 
2866;26419;6498;0;23492;23153 
2603;26416;6494;0;23492;23153 
2684;26415;6494;0;23492;23153 
2786;26412;6480;0;23491;23153 
2848;26410;6363;0;23491;23153 
2805;26408;6363;0;23490;27828 
2775;26405;6315;0;23490;27828 
2675;26404;6315;0;23489;27828 
2736;26401;6117;0;23489;27828 
2746;26399;6117;0;23488;27828 
2592;26396;6171;0;23488;27828 
2634;26394;6117;0;23488;27828 
2732;26392;6117;0;23488;27828 
2780;26389;6059;0;23487;27828 
2679;26387;6059;0;23487;27828 
2604;26385;6023;0;23486;36529 
2570;26383;6023;0;23486;36529 
2834;26380;5854;0;23486;36529 
2679;26377;5895;0;23485;36529 
2576;26376;5895;0;23485;36529 
2579;26373;5840;0;23485;36529 
2569;26371;5840;0;23484;36529 
2576;26368;5831;0;23484;36529 
2621;26365;5758;0;23484;36529 
