Mesures en accel/decel 
Acc_I;Acc_Pos;Acc_Vit;Dec_I;Dec_Pos;Dec_Vit 
2317;0;65535;997;63089;3662 
3638;0;65535;230;63085;3690 
4067;0;65535;18;63081;3775 
3994;0;65535;0;63078;3775 
4095;0;65535;0;63074;3764 
4095;65535;65535;0;63071;3885 
4095;65535;65535;0;63067;3962 
4095;65535;65535;0;63063;4022 
4095;65535;65535;0;63060;4120 
3735;65535;65535;0;63056;4111 
3771;65534;65535;0;63053;4245 
3886;65534;65535;0;63050;4245 
4033;65533;65535;0;63047;4333 
4063;65533;65535;0;63043;4407 
3843;65532;65535;0;63040;4523 
3865;65532;65535;0;63038;4523 
4095;65531;65535;0;63035;4523 
4095;65531;65535;0;63031;4682 
3949;65531;65535;0;63028;4788 
3545;65530;65535;0;63026;4788 
3720;65530;65535;0;63023;4880 
4030;65529;30770;0;63020;5020 
4095;65528;30770;0;63017;5035 
3864;65528;30770;0;63015;5035 
3821;65527;30770;0;63012;5225 
3823;65527;30770;0;63009;5358 
3616;65526;30770;0;63007;5358 
3849;65526;30770;0;63004;5478 
4095;65525;24775;0;63002;5478 
3771;65524;24775;0;62999;5654 
3652;65523;24775;0;62997;5692 
3948;65523;24775;0;62995;5692 
3669;65522;24775;0;62992;5938 
3668;65521;20875;0;62990;5938 
3737;65520;20875;0;62987;6124 
3452;65520;20875;0;62986;6124 
3638;65519;20875;0;62983;6302 
3757;65519;20875;0;62981;6568 
3706;65518;20875;0;62979;6568 
3826;65517;18187;0;62977;6692 
3730;65516;18187;0;62975;6692 
4037;65515;18187;0;62973;7044 
3567;65514;18187;0;62971;7044 
3532;65513;16784;0;62969;7318 
3717;65512;16784;0;62967;7318 
3534;65511;16784;0;62966;7318 
3869;65511;16784;0;62963;7606 
3382;65510;16784;0;62962;7606 
3692;65509;15385;0;62960;8031 
3596;65508;15385;0;62959;8031 
3649;65507;15385;0;62957;8269 
3412;65506;15385;0;62955;8269 
3810;65505;14067;0;62954;8269 
3458;65503;14067;0;62952;8811 
3641;65503;14067;0;62951;8811 
3348;65502;14067;0;62949;9252 
3602;65500;13106;0;62947;9252 
3402;65499;13106;0;62946;9252 
3497;65498;13106;0;62945;9764 
3563;65497;12288;0;62943;9764 
3554;65495;12288;0;62942;9764 
3676;65495;12288;0;62941;10530 
3387;65494;12288;0;62939;10530 
3464;65492;12070;0;62939;10530 
3638;65491;12070;0;62937;11090 
3196;65490;12070;0;62936;11090 
3520;65488;11507;0;62935;11090 
3491;65487;11507;0;62934;11090 
3265;65486;11507;0;62932;12079 
3622;65484;11073;0;62931;12079 
3354;65483;11073;0;62931;12079 
3203;65482;11073;0;62929;12982 
3253;65480;10656;0;62928;12982 
3167;65479;10656;0;62927;12982 
3322;65478;10656;0;62927;12982 
3407;65476;10140;0;62925;13964 
3501;65475;10140;0;62924;13964 
3289;65474;10140;0;62923;13964 
3249;65472;10065;0;62923;13964 
3497;65471;10065;0;62922;13964 
3176;65470;10065;0;62921;15362 
3333;65468;9804;0;62920;15362 
3267;65467;9804;0;62919;15362 
3345;65465;9502;0;62918;15362 
3179;65463;9502;0;62917;16685 
3116;65462;9502;0;62916;16685 
3122;65460;9291;0;62916;16685 
3226;65459;9291;0;62915;16685 
3235;65457;8962;0;62915;16685 
3230;65455;8962;0;62914;16685 
3172;65454;8962;0;62913;19088 
3181;65452;8921;0;62912;19088 
3265;65451;8921;0;62911;19088 
3104;65449;8770;0;62911;19088 
3182;65447;8770;0;62911;19088 
3074;65446;8770;0;62910;19088 
3234;65444;8588;0;62909;21859 
3172;65443;3322;0;62908;21859 
3007;65441;5095;0;62908;21859 
2968;65439;5095;0;62907;21859 
3124;65438;5095;0;62907;21859 
3235;65436;8174;0;62907;21859 
3208;65434;8174;0;62906;21859 
3126;65432;8149;0;62905;25509 
3200;65431;8149;0;62905;25509 
3066;65429;8033;0;62904;25509 
3082;65427;8033;0;62904;25509 
3025;65425;7891;0;62903;25509 
3058;65423;7891;0;62903;25509 
2903;65422;7891;0;62903;25509 
2917;65420;7785;0;62902;25509 
3045;65418;7785;0;62902;25509 
3057;65416;7521;0;62902;25509 
3107;65415;7521;0;62901;33155 
3078;65412;7584;0;62901;33155 
3109;65411;7584;0;62900;33155 
3033;65408;7475;0;62900;33155 
3049;65407;7475;0;62900;33155 
3090;65405;7359;0;62899;33155 
2972;65403;7359;0;62899;33155 
2890;65401;7253;0;62899;33155 
2860;65399;7253;0;62899;33155 
2938;65397;7093;0;62899;33155 
3084;65395;7093;0;62899;33155 
3039;65393;7153;0;62898;33155 
3142;65391;7153;0;62898;33155 
2937;65389;7034;0;62898;33155 
2971;65387;7034;0;62898;33155 
2929;65385;6993;0;62897;54810 
2896;65383;6993;0;62897;54810 
2874;65381;6893;0;62897;54810 
2888;65379;6893;0;62897;54810 
2908;65377;6760;0;62897;54810 
2987;65375;6760;0;62897;54810 
2952;65372;6765;0;62896;54810 
3010;65371;6765;0;62896;54810 
2950;65368;6709;0;62896;54810 
2831;65367;6709;0;62896;54810 
2953;65364;6634;0;62896;54810 
2816;65362;6634;0;62896;54810 
2733;65360;6599;0;62896;54810 
2808;65358;6599;0;62896;54810 
2765;65355;6450;0;62896;54810 
2851;65354;6450;0;62896;54810 
2972;65351;6486;0;62896;54810 
2830;65349;6437;0;62896;54810 
2873;65347;6437;0;62896;54810 
2955;65344;6365;0;62896;54810 
2846;65343;6365;0;62896;54810 
2722;65340;6331;0;62896;54810 
2774;65338;6331;0;62896;54810 
2680;65335;6194;0;62896;54810 
2808;65333;6231;0;62896;54810 
2960;65331;6231;0;62896;54810 
2779;65329;6194;0;62896;65535 
2813;65327;6194;0;62896;65535 
2896;65324;6137;0;62896;65535 
2693;65322;6137;0;62896;65535 
2608;65319;6114;0;62896;65535 
2732;65317;5993;0;62896;65535 
2776;65315;5993;0;62896;65535 
2775;65312;6040;0;62896;65535 
2752;65311;6040;0;62896;65535 
2721;65308;6019;0;62896;65535 
2637;65306;6019;0;62896;65535 
2754;65303;5977;0;62896;65535 
2684;65301;5976;0;62896;65535 
2738;65299;5976;0;62896;65535 
2667;65296;5830;0;62896;65535 
2689;65294;5830;0;62896;65535 
2734;65291;5890;0;62896;65535 
2676;65289;5873;0;62896;65535 
2724;65287;5873;0;62896;65535 
2785;65284;5835;0;62896;65535 
2611;65282;5835;0;62896;65535 
2579;65279;5809;0;62896;65535 
2640;65277;5732;0;62896;65535 
2728;65275;5732;0;62896;65535 
2635;65272;5757;0;62896;65535 
2581;65270;5757;0;62896;65535 
2721;65267;5751;0;62896;65535 
2789;65264;5705;0;62896;65535 
2597;65262;5705;0;62896;65535 
2514;65259;5703;0;62896;65535 
2609;65257;5565;0;62896;65535 
2757;65255;5565;0;62896;65535 
2626;65252;5618;0;62896;65535 
2545;65250;5618;0;62896;65535 
2661;65247;5601;0;62896;65535 
2755;65244;5576;0;62896;65535 
2533;65242;5576;0;62896;65535 
2518;65239;5585;0;62896;65535 
2626;65237;5446;0;62896;65535 
2682;65235;5446;0;62896;65535 
2619;65231;5531;0;62896;65535 
2602;65229;5507;0;62896;65535 
2660;65227;5507;0;62896;65535 
