Mesures en accel/decel 
Acc_I;Acc_Pos;Acc_Vit;Dec_I;Dec_Pos;Dec_Vit 
1452;2662;65535;923;65092;3116 
4044;2662;65535;199;65087;3118 
4089;2662;65535;10;65083;3182 
4095;2662;65535;0;65078;3161 
4095;2662;65535;0;65074;3249 
4095;2662;65535;0;65070;3299 
4075;2662;65535;0;65066;3339 
3770;2662;65535;0;65062;3409 
3748;2661;65535;0;65058;3390 
3765;2661;65535;0;65054;3491 
3974;2660;65535;0;65050;3551 
4013;2660;65535;0;65046;3597 
3794;2659;65535;0;65042;3677 
3642;2659;65535;0;65038;3663 
4095;2658;65535;0;65035;3776 
4062;2658;65535;0;65031;3846 
3659;2657;65535;0;65027;3904 
3660;2656;25875;0;65024;3998 
3801;2655;25875;0;65021;3998 
3879;2655;25875;0;65017;3990 
3919;2654;25875;0;65014;4125 
3762;2653;25875;0;65010;4211 
3731;2652;17882;0;65007;4285 
4072;2651;17882;0;65004;4407 
3699;2650;17882;0;65001;4407 
3672;2650;17882;0;64998;4417 
3431;2649;17882;0;64994;4582 
3671;2647;14786;0;64992;4690 
3455;2646;14786;0;64989;4690 
3640;2646;14786;0;64986;4790 
3451;2645;14786;0;64983;4945 
3666;2643;13586;0;64980;4980 
3539;2642;13586;0;64978;4980 
3506;2641;13586;0;64975;5187 
3598;2640;13187;0;64972;5325 
3420;2639;13187;0;64970;5325 
3735;2638;13187;0;64967;5463 
3342;2637;13187;0;64965;5463 
3464;2636;12880;0;64962;5671 
3510;2634;12880;0;64960;5736 
3564;2634;12880;0;64958;5736 
3400;2632;12458;0;64955;6000 
3584;2631;12458;0;64953;6000 
3505;2630;12458;0;64950;6195 
3335;2629;12458;0;64949;6195 
3485;2627;12026;0;64946;6391 
3341;2626;12026;0;64944;6674 
3480;2625;12026;0;64942;6674 
3268;2624;11489;0;64940;6804 
3365;2622;11489;0;64938;6804 
3493;2622;11489;0;64936;7175 
3284;2620;11240;0;64934;7175 
3180;2619;11240;0;64933;7175 
3444;2618;11240;0;64930;7467 
3236;2616;10738;0;64929;7467 
3351;2615;10738;0;64927;7782 
3357;2614;10738;0;64926;7782 
3287;2612;10190;0;64924;8226 
3264;2610;10190;0;64922;8226 
3208;2610;10190;0;64921;8226 
3237;2608;9791;0;64919;8503 
3110;2606;9791;0;64918;8503 
3207;2605;9791;0;64916;9102 
3320;2603;9245;0;64914;9102 
3404;2602;9245;0;64913;9102 
3171;2600;9021;0;64911;9614 
3173;2598;9021;0;64910;9614 
3082;2597;9021;0;64909;9614 
3212;2595;8773;0;64907;10181 
3204;2594;8773;0;64906;10181 
3213;2592;8521;0;64905;10181 
3110;2590;8521;0;64903;10988 
2995;2589;8521;0;64902;10988 
2957;2587;8297;0;64902;10988 
3038;2585;8297;0;64900;11602 
3130;2583;7992;0;64899;11602 
3194;2582;7992;0;64898;11602 
3082;2580;7930;0;64897;11602 
3215;2578;7930;0;64896;12701 
2999;2576;7755;0;64894;12701 
3044;2574;7755;0;64894;12701 
2935;2573;7755;0;64893;12701 
2998;2570;7642;0;64891;13693 
2882;2569;7642;0;64890;13693 
2866;2566;7509;0;64890;13693 
2877;2565;7509;0;64889;13693 
3006;2563;7227;0;64888;14851 
2905;2561;7227;0;64887;14851 
2852;2559;7193;0;64886;14851 
2904;2557;7193;0;64886;14851 
2935;2555;7130;0;64885;14851 
2811;2553;7130;0;64884;16535 
2940;2551;6956;0;64883;16535 
2830;2549;6956;0;64882;16535 
2788;2547;6893;0;64882;16535 
2852;2545;6893;0;64881;16535 
2910;2542;6694;0;64880;18394 
2774;2541;6694;0;64879;18394 
2951;2538;6673;0;64878;18394 
2820;2536;6593;0;64878;18394 
2886;2534;6593;0;64878;18394 
2886;2532;6500;0;64877;18394 
2915;2530;6500;0;64876;21800 
2822;2527;6446;0;64875;21800 
2767;2526;6446;0;64875;21800 
2793;2523;6244;0;64874;21800 
2756;2521;6244;0;64874;21800 
2760;2518;6262;0;64874;21800 
2719;2516;6206;0;64873;21800 
2776;2514;6206;0;64873;21800 
2852;2511;6126;0;64872;26321 
2750;2510;6126;0;64871;26321 
2695;2507;6094;0;64871;26321 
2667;2505;6094;0;64870;26321 
2855;2502;5894;0;64870;26321 
2739;2500;5963;0;64870;26321 
2810;2498;5963;0;64870;26321 
2683;2495;5895;0;64869;26321 
2517;2493;5895;0;64869;26321 
2647;2490;5825;0;64869;26321 
2658;2488;5831;0;64868;35130 
2639;2486;5831;0;64868;35130 
2684;2483;5653;0;64867;35130 
2649;2481;5653;0;64867;35130 
2798;2478;5681;0;64867;35130 
2643;2475;5613;0;64867;35130 
2484;2473;5613;0;64866;35130 
2610;2470;5594;0;64866;35130 
2609;2468;5584;0;64866;35130 
2602;2466;5584;0;64866;35130 
2615;2462;5406;0;64866;35130 
