Mesures en accel/decel 
Acc_I;Acc_Pos;Acc_Vit;Dec_I;Dec_Pos;Dec_Vit 
2771;23482;65535;583;26384;3232 
3965;23482;65535;110;26389;3251 
4095;23482;65535;0;26393;3295 
4095;23482;65535;0;26397;3342 
4095;23483;65535;0;26401;3428 
4053;23483;65535;0;26405;3460 
3971;23483;65535;0;26409;3498 
3951;23484;65535;0;26413;3549 
3861;23484;65535;0;26417;3601 
3682;23484;65535;0;26421;3701 
3960;23484;65535;0;26425;3741 
4002;23485;65535;0;26428;3741 
4030;23485;65535;0;26432;3785 
3815;23485;65535;0;26436;3845 
3868;23486;65535;0;26440;3908 
3939;23487;65535;0;26443;4020 
3876;23487;65535;0;26446;4071 
3808;23488;65535;0;26449;4126 
3510;23488;65535;0;26453;4199 
3480;23488;65535;0;26456;4199 
3567;23489;31569;0;26460;4275 
3852;23489;31569;0;26463;4408 
3685;23490;31569;0;26466;4475 
3798;23490;31569;0;26469;4545 
3858;23491;31569;0;26472;4545 
3729;23492;31569;0;26475;4633 
3698;23492;31569;0;26478;4727 
3663;23493;24477;0;26480;4727 
3492;23493;24477;0;26484;4882 
3359;23494;24477;0;26486;4968 
3526;23495;24477;0;26489;5060 
3495;23496;24477;0;26492;5060 
3549;23496;24477;0;26495;5172 
3440;23497;18116;0;26497;5290 
3498;23499;18116;0;26500;5290 
3435;23500;18116;0;26502;5483 
3563;23500;18116;0;26504;5483 
3613;23501;15785;0;26507;5603 
3469;23502;15785;0;26509;5727 
3461;23503;15785;0;26512;5727 
3195;23504;15785;0;26514;5871 
3507;23505;14751;0;26516;5871 
3543;23506;14751;0;26519;6022 
3610;23507;14751;0;26521;6260 
3353;23508;14751;0;26524;6260 
3451;23509;14060;0;26525;6425 
3443;23510;14060;0;26528;6425 
3562;23511;14060;0;26530;6590 
3537;23512;14060;0;26532;6590 
3517;23513;13050;0;26534;6779 
3228;23515;13050;0;26536;6779 
3282;23516;13050;0;26538;6986 
3333;23517;11886;0;26540;6986 
3240;23518;11886;0;26541;7309 
3207;23520;11886;0;26544;7309 
3332;23520;11886;0;26545;7536 
3249;23522;11155;0;26547;7536 
3352;23524;11155;0;26549;7778 
3164;23524;11155;0;26551;7778 
3236;23526;10560;0;26552;7778 
3236;23528;10560;0;26554;8069 
3149;23529;10120;0;26556;8069 
3247;23530;10120;0;26557;8382 
3182;23532;10120;0;26559;8382 
3217;23533;9872;0;26560;8382 
3060;23535;9872;0;26562;8831 
3135;23536;9872;0;26564;8831 
3093;23537;9542;0;26565;9193 
3118;23539;9542;0;26567;9193 
3184;23540;9542;0;26568;9193 
3098;23542;9335;0;26569;9594 
3156;23544;9335;0;26571;9594 
3093;23545;9029;0;26572;9594 
3157;23547;9029;0;26574;10061 
3012;23548;9029;0;26575;10061 
3092;23550;8757;0;26576;10061 
3102;23552;8757;0;26577;10572 
3052;23553;8511;0;26579;10572 
2998;23555;8511;0;26580;10572 
2994;23557;8286;0;26581;11294 
3012;23559;8286;0;26583;11294 
3036;23560;8286;0;26584;11294 
2917;23562;8159;0;26585;11962 
2957;23564;8159;0;26586;11962 
2975;23565;7953;0;26587;11962 
3063;23568;7953;0;26588;11962 
2959;23569;7770;0;26589;12722 
3107;23571;7770;0;26590;12722 
3052;23573;7624;0;26592;12722 
