Mesures en accel/decel 
Acc_I;Acc_Pos;Acc_Vit;Dec_I;Dec_Pos;Dec_Vit 
2418;0;65535;885;2457;3647 
3813;0;65535;197;2461;3668 
4095;1;65535;10;2464;3774 
4095;1;65535;0;2468;3826 
4095;1;65535;0;2471;3878 
4095;1;65535;0;2475;3948 
4095;2;65535;0;2478;3948 
4019;2;65535;0;2482;4013 
3928;2;65535;0;2486;4137 
4095;2;65535;0;2489;4193 
4095;2;65535;0;2492;4252 
4095;3;65535;0;2495;4331 
4095;3;65535;0;2498;4331 
3948;4;65535;0;2502;4413 
4095;4;65535;0;2505;4552 
4095;5;65535;0;2507;4625 
4095;6;65535;0;2510;4625 
4037;6;65535;0;2514;4700 
3954;6;65535;0;2516;4796 
3885;7;29908;0;2519;4897 
3966;7;29908;0;2522;4897 
3769;8;29908;0;2525;5062 
3884;9;29908;0;2527;5153 
3491;9;29908;0;2530;5153 
3450;10;29908;0;2533;5248 
3634;10;29908;0;2535;5369 
3580;11;24876;0;2538;5369 
3903;11;24876;0;2541;5496 
3732;12;24876;0;2543;5694 
3922;13;24876;0;2546;5694 
3834;14;24876;0;2548;5816 
3676;14;24876;0;2550;5816 
3860;14;24876;0;2553;5946 
3865;15;21829;0;2554;5946 
3447;16;21829;0;2557;6106 
3691;17;21829;0;2559;6275 
3634;18;21829;0;2562;6275 
3697;18;21829;0;2563;6535 
3465;19;19131;0;2566;6535 
3425;20;19131;0;2567;6715 
3677;21;19131;0;2570;6715 
3632;22;19131;0;2571;6904 
3694;22;19131;0;2574;6904 
3895;23;17513;0;2575;7135 
3670;24;17513;0;2578;7135 
3830;25;17513;0;2579;7379 
3715;26;17513;0;2581;7379 
3616;26;17513;0;2583;7736 
3583;27;15687;0;2585;7736 
3677;29;15687;0;2586;7736 
3402;30;15687;0;2588;8013 
3397;30;15687;0;2590;8013 
3623;31;14484;0;2591;8305 
3664;33;14484;0;2593;8305 
3475;34;14484;0;2594;8305 
3606;34;14484;0;2596;8661 
3473;36;13610;0;2598;8661 
3522;37;13610;0;2599;9034 
3359;38;13610;0;2601;9034 
3262;39;12863;0;2602;9034 
3272;40;12863;0;2604;9558 
3394;42;12863;0;2605;9558 
3543;42;12863;0;2606;9558 
3479;43;12458;0;2608;10008 
3635;45;12458;0;2610;10008 
3529;46;12458;0;2610;10008 
3415;47;11854;0;2612;10513 
3517;49;11854;0;2613;10513 
3231;50;11854;0;2614;10513 
3239;51;11290;0;2615;11116 
3367;52;11290;0;2617;11116 
3367;54;11290;0;2618;11116 
3305;55;10907;0;2619;11782 
3126;56;10907;0;2620;11782 
3241;58;10907;0;2622;11782 
3202;58;10907;0;2622;11782 
3195;60;10606;0;2623;12690 
3296;62;10606;0;2625;12690 
3417;63;10440;0;2626;12690 
3314;64;10440;0;2626;12690 
3392;66;10440;0;2627;13619 
3301;67;10040;0;2629;13619 
3367;69;10040;0;2630;13619 
3186;70;10040;0;2630;13619 
3273;71;9690;0;2631;14670 
3383;73;9690;0;2632;14670 
3356;74;9690;0;2633;14670 
3341;76;9478;0;2634;14670 
3289;78;9478;0;2635;16007 
3226;79;9264;0;2635;16007 
3206;80;9264;0;2637;16007 
3197;82;9264;0;2638;16007 
3265;83;9158;0;2638;16007 
3363;85;9158;0;2639;17584 
3177;86;9158;0;2639;17584 
3241;88;8928;0;2640;17584 
3105;90;8928;0;2641;17584 
3258;91;8719;0;2642;17584 
3344;93;8719;0;2642;17584 
3224;94;8719;0;2643;19679 
3170;97;8559;0;2644;19679 
3087;98;8559;0;2644;19679 
2981;100;8396;0;2645;19679 
3127;102;8396;0;2646;19679 
3210;103;8318;0;2646;19679 
3345;105;8318;0;2647;22423 
3150;106;8318;0;2647;22423 
3216;109;8135;0;2648;22423 
3062;110;8135;0;2649;22423 
3066;112;7960;0;2649;22423 
3132;114;7960;0;2650;22423 
3208;115;7865;0;2650;22423 
3057;118;7865;0;2650;22423 
3016;119;7756;0;2651;26284 
3074;121;7756;0;2651;26284 
3233;122;7756;0;2652;26284 
3254;125;7732;0;2653;26284 
3092;126;7732;0;2653;26284 
3159;129;7579;0;2654;26284 
2953;130;7579;0;2654;26284 
3020;132;7431;0;2654;26284 
3093;134;7431;0;2654;26284 
3022;136;7376;0;2655;32628 
2983;138;7376;0;2655;32628 
2846;140;7279;0;2655;32628 
2980;142;7279;0;2656;32628 
2973;144;7261;0;2656;32628 
3062;146;7261;0;2657;32628 
2983;148;7135;0;2657;32628 
2929;150;7135;0;2658;32628 
2915;152;7014;0;2658;32628 
2994;154;7014;0;2658;32628 
2979;156;6970;0;2658;32628 
2929;158;6970;0;2658;32628 
2817;160;6897;0;2658;32628 
2953;162;6897;0;2659;43830 
2956;164;6892;0;2659;43830 
2958;166;6892;0;2659;43830 
2971;168;6775;0;2660;43830 
2895;170;6775;0;2660;43830 
2922;172;6679;0;2660;43830 
3050;174;6679;0;2660;43830 
