Mesures en accel/decel
Acc_I;Acc_Pos;Acc_Vit;Dec_I;Dec_Pos;Dec_Vit
1386;0;65535;786;5486;407
3074;0;65535;4095;5490;361
3600;0;65535;4095;5494;407
3747;0;65535;4095;5498;408
3793;0;65535;4095;5502;407
3796;0;65535;4095;5506;361
3786;0;65535;4095;5510;407
3772;0;65535;4095;5514;408
3758;0;65535;4095;5518;407
3742;1;65535;4095;5521;407
3726;1;65535;4095;5525;452
3710;1;65535;4095;5529;407
3694;2;65535;4095;5533;407
3681;2;65535;4095;5537;407
3665;2;65535;4095;5540;452
3650;3;65535;4095;5544;407
3634;3;65535;4095;5547;453
3619;3;65535;4095;5551;407
3605;4;65535;4095;5555;452
3590;4;65535;4095;5559;452
3576;5;65535;4095;5562;453
3561;5;65535;4095;5566;407
3546;6;3709;4095;5569;407
3533;6;3709;4095;5573;452
3519;7;3709;4095;5576;452
3504;8;3709;4095;5580;498
3490;8;3709;4095;5583;452
3476;9;3709;4095;5586;452
3463;10;2578;4095;5590;453
3449;10;2578;4095;5593;453
3435;11;2578;4095;5597;497
3421;12;2578;4095;5600;452
3407;13;2578;4095;5603;498
3395;13;2578;4095;5607;452
3382;14;2125;4095;5610;498
3368;15;2125;4095;5613;498
3355;16;2125;4095;5616;497
3342;17;2125;4095;5620;498
3330;18;1855;4095;5623;497
3317;19;1855;4095;5626;498
3304;20;1855;4095;5629;498
3291;21;1855;4095;5632;497
3278;22;1673;4095;5635;543
3267;23;1673;4095;5638;498
3254;23;1673;4095;5642;497
3242;25;1673;4095;5645;497
3229;26;1583;4095;5647;543
3217;27;1583;4095;5650;543
3206;28;1583;4095;5654;497
3193;29;1583;4095;5657;497
3181;30;1402;4095;5660;543
3169;31;1402;4095;5662;543
3157;32;1402;4095;5665;543
3147;34;1357;4095;5668;542
3135;35;1357;4095;5671;588
3123;36;1357;4095;5674;543
3111;37;1357;4095;5677;543
3100;39;1312;4095;5679;543
3090;40;1312;4095;5682;588
3078;41;1312;4095;5685;588
3067;42;1221;4095;5688;588
3056;44;1221;4095;5690;588
3044;45;1221;4095;5693;588
3035;47;1176;4095;5696;543
3023;48;1176;4095;5699;633
3013;49;1176;4095;5701;633
3002;51;1131;4095;5704;588
2991;52;1131;4095;5707;588
2981;54;1130;4095;5709;588
2971;55;1130;4095;5712;633
2960;57;1130;4095;5714;588
2949;58;1041;4095;5717;588
2939;60;1041;4095;5719;633
2930;61;1041;4095;5722;633
2920;63;1040;4095;5725;633
2909;64;1040;4095;5727;633
2899;66;995;4095;5729;633
2889;68;995;4095;5732;634
2880;69;995;4095;5734;633
2870;71;995;4095;5737;633
2860;73;995;4095;5739;678
2850;74;950;4095;5742;634
2841;76;950;4095;5744;634
2832;78;950;4095;5746;678
2822;79;950;4095;5749;678
2813;81;950;4095;5751;678
2803;83;904;4095;5753;678
